district,no_of_blocks,no_of_gps,no_of_bhqs,total_gps_bh_qs,no_of_service_ready_bhqs,no_of_servic_e_ready_gps,no_of_service_ready_bhqs_gps,no_of_acitve_connec_tivity_bhqs_gps,pct_of_acitve_connec_tivity
Angul,8,219,8,227,8,219,227,174,76.65
Balangir,14,314,14,328,14,314,328,248,75.61
Balasore,10,71,0,71,0,71,71,56,78.87
Bargarh,12,253,12,265,12,253,265,224,84.53
Bhadrak,7,30,0,30,0,30,30,21,70.00
Boudh,2,6,0,6,0,6,6,0,0.00
Cuttack,11,31,0,31,0,31,31,23,74.19
Deogarh,3,10,0,10,0,10,10,8,80.00
Dhenkanal,7,15,0,15,0,15,15,13,86.67
Gajapati,5,21,0,21,0,21,21,13,61.90
Ganjam,13,28,0,28,0,28,28,23,82.14
Jagatsinghpur,3,4,0,4,0,4,4,3,75.00
Jajpur,7,31,0,31,0,31,31,30,96.77
Jharsuguda,5,78,5,83,5,78,83,59,71.08
Kalahandi,12,166,7,173,7,166,173,86,49.71
Kandhamal,7,12,0,12,0,12,12,5,41.67
Kendrapara,5,18,0,18,0,18,18,18,100.00
Keonjhar,8,97,4,101,4,97,101,84,83.17
Khordha,8,22,0,22,0,22,22,17,77.27
Koraput,14,239,14,253,14,239,253,208,82.21
Malkangiri,7,103,7,110,7,103,110,103,93.64
Mayurbhanj,18,81,4,85,4,81,85,51,60.00
Nabarangpur,10,189,10,199,10,189,199,172,86.43
Nayagarh,7,18,0,18,0,18,18,17,94.44
Nuapada,5,131,5,136,5,131,136,116,85.29
Puri,11,38,0,38,0,38,38,35,92.11
Rayagada,11,181,11,192,11,181,192,145,75.52
Sambalpur,9,138,9,147,9,138,147,124,84.35
Subarnapur,6,109,6,115,6,109,115,89,77.39
Sundargarh,17,279,17,296,17,279,296,241,81.42
