district,crop_loan_t,a,pct,term_loan_water_resources_t,a,pct,farm_mechanisation_t,a,pct,plantation_and_horticulture_t,a,pct,forestry_and_wasteland_dev_t,a,pct,allied_advance_ah_dairy_t,a,pct,ah_poultry_t,a,pct,ah_sheep_goat_piggery_t,a,pct
Angul,2046.09,379.31,18.54,41.20,0.79,1.92,227.36,37.31,16.41,64.05,6.68,10.43,13.32,3.21,24.13,207.73,13.63,6.56,116.96,15.23,13.02,111.50,24.59,22.06
Balangir,2930.53,543.09,18.53,45.40,151.45,333.61,305.30,24.43,8.00,44.92,416.22,926.51,25.38,2.95,11.61,175.32,21.95,12.52,355.37,18.08,5.09,347.91,16.52,4.75
Balasore,2722.07,528.04,19.40,98.71,0.66,0.67,225.51,63.36,28.10,238.11,12.62,5.30,6.06,5.21,85.95,199.28,20.12,10.10,150.24,27.06,18.01,18.27,26.43,144.66
Bargarh,5081.08,773.90,15.23,122.18,0.21,0.17,459.99,32.99,7.17,159.07,8.37,5.26,29.23,3.36,11.49,187.96,18.61,9.90,123.29,11.25,9.13,136.69,19.29,14.11
Bhadrak,2348.98,467.81,19.92,25.21,0.35,1.39,127.03,83.68,65.87,89.80,7.17,7.98,9.67,2.59,26.84,154.88,12.57,8.12,70.53,5.24,7.43,159.52,18.58,11.65
Boudh,1070.85,138.69,12.95,10.05,0.11,1.09,62.85,19.24,30.61,27.67,0.61,2.19,2.98,0.84,28.14,25.63,1.75,6.83,43.00,2.94,6.83,19.61,1.07,5.46
Cuttack,2604.22,547.44,21.02,40.87,1.26,3.07,176.37,95.25,54.01,65.39,12.86,19.67,1.78,8.37,471.12,213.14,30.13,14.14,217.97,32.44,14.88,122.99,51.10,41.54
Deogarh,685.44,99.19,14.47,6.83,0.02,0.32,44.94,19.08,42.46,62.85,0.19,0.30,6.87,0.25,3.60,12.95,0.29,2.27,7.89,0.89,11.23,40.52,0.30,0.74
Dhenkanal,1100.34,284.24,25.83,39.20,0.49,1.26,159.87,34.44,21.54,7.54,4.74,62.92,3.04,2.17,71.32,169.71,19.08,11.24,213.79,6.85,3.20,18.20,4.10,22.52
Gajapati,538.69,107.04,19.87,11.77,0.25,2.13,62.18,9.95,16.01,25.05,1.97,7.88,5.03,1.33,26.51,31.50,3.49,11.10,22.07,3.26,14.79,34.80,6.28,18.04
Ganjam,4177.40,755.86,18.09,81.18,2.27,2.79,391.27,113.94,29.12,225.10,35.48,15.76,20.01,17.87,89.29,405.70,65.11,16.05,500.75,74.48,14.87,289.52,35.41,12.23
Jagatsinghpur,1461.58,332.82,22.77,17.56,0.44,2.52,156.76,41.19,26.27,67.18,4.14,6.17,3.01,2.75,91.18,150.94,23.68,15.69,35.59,22.61,63.54,97.51,13.60,13.95
Jajpur,2853.04,609.99,21.38,40.20,2.46,6.12,155.09,98.35,63.42,88.98,11.21,12.59,14.13,2.14,15.11,164.65,15.13,9.19,99.84,14.04,14.06,634.20,63.06,9.94
