District,Total Branch,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,OPS Total O/S No.,OPS Total O/S Amt
Baksa,5 6,0,0,84,207.90,983,"8,852.65",0,0,45,11.15,"6,463","2,100.73","7,575","11,172.43"
Barpeta,1 21,0,0,432,"1,324.77","3,340","29,612.11",1,12.31,483,226.04,"36,132","12,661.60","40,388","43,836.83"
Biswanath,5 5,0,0,143,402.81,"1,373","10,929.27",0,0,0,0,"12,182","7,794.32","13,698","19,126.40"
Bongaigaon,5 7,0,0,139,543.91,"1,890","15,924.48",2,68.00,105,50.87,"18,895","8,117.03","21,031","24,704.29"
Cachar,1 60,0,0,1066,"2,924.08","3,920","26,474.48",3,15.25,15,4.23,"77,340","29,873.15","82,344","59,291.19"
Charaideo,3 5,0,0,70,185.52,407,"3,324.28",1,4.52,53,21.23,"4,701","4,013.14","5,232","7,548.69"
Chirang,3 5,0,0,64,237.04,620,"6,115.17",0,0,133,49.74,"8,956","2,962.85","9,773","9,364.80"
Darrang,6 8,0,0,331,989.34,"1,601","13,497.81",0,0,48,21.86,"21,667","7,623.72","23,647","22,132.73"
Dhemaji,4 5,0,0,155,441.33,"1,666","14,780.55",3,47.03,21,5.46,"6,683","2,694.23","8,528","17,968.60"
Dhubri,8 6,0,0,174,600.07,"1,977","16,482.20",43,22.77,259,149.85,"35,070","12,376.69","37,523","29,631.58"
Dibrugarh,1 80,0,0,863,"2,842.18","4,577","40,427.92",1,8.53,16,5.31,"33,303","18,397.83","38,760","61,681.77"
Dima Hasao,2 9,0,0,31,82.56,509,"3,353.19",0,0,0,0,74,167.98,614,"3,603.73"
Goalpara,6 7,0,0,134,479.67,"1,061","10,121.71",34,10.38,449,288.62,"18,064","7,202.24","19,742","18,102.62"
Golaghat,1 18,0,0,354,"1,077.20","2,344","18,975.81",0,0,3,0.69,"29,976","11,220.72","32,677","31,274.42"
Hailakandi,4 4,0,0,94,243.46,958,"6,715.91",0,0,23,12.70,"13,793","5,261.42","14,868","12,233.49"
Hojai,5 4,0,0,148,467.24,923,"7,716.30",1,1.19,0,0,"17,456","22,051.60","18,528","30,236.33"
Jorhat,1 35,0,0,815,"2,664.43","4,378","37,520.81",1,75.01,0,0,"27,488","12,050.60","32,682","52,310.85"
Kamrup Metro,1 68,0,0,1212,"3,974.83","4,399","32,330.24",2,10.41,15,6.85,"67,798","23,293.40","73,426","59,615.73"
Karbi Anglong,6 4,0,0,120,292.64,"2,250","22,276.87",0,0,0,0,"3,428","1,678.49","5,798","24,248.00"
Karimganj,8 7,0,0,99,296.41,"1,265","6,723.02",2,4.47,14,2.66,"36,641","18,937.78","38,021","25,964.34"
Kokrajhar,5 1,0,0,107,313.88,"1,047","10,768.45",1,800.00,2,1.66,"16,683","5,884.72","17,840","17,768.71"
Lakhimpur,8 8,0,0,333,901.70,"3,378","27,082.59",4,7.30,88,38.66,"20,335","16,208.87","24,138","44,239.12"
Majuli,1 5,0,0,40,94.67,288,"1,907.67",0,0,0,0,"1,127","8,625.36","1,455","10,627.70"
Morigaon,6 7,0,0,139,378.84,"1,670","11,517.55",1,0.90,24,9.46,"14,442","22,445.27","16,276","34,352.02"
Nagaon,1 53,0,0,337,"1,126.46","4,108","32,526.63",4,119.34,2,1.68,"49,780","27,638.75","54,231","61,412.86"
Nalbari,8 5,0,0,333,"1,159.14","2,732","22,483.45",2,36.89,8,2.27,"22,727","9,778.59","25,802","33,460.34"
Sivasagar,9 6,0,0,314,977.92,"2,797","22,803.43",1,3.44,15,6.20,"18,721","11,050.66","21,848","34,841.65"
Sonitpur,1 31,0,0,468,"1,437.49","3,689","30,741.61",1,4.18,3,2.20,"35,355","26,280.91","39,516","58,466.39"
South Salmara,1 1,0,0,14,48.31,275,"2,787.58",0,0,7,5.00,263,386.21,559,"3,227.10"
Tinsukia,1 49,0,0,569,"1,983.30","3,042","25,299.13",3,9.08,15,4.17,"22,409","13,554.93","26,038","40,850.61"
Udalguri,4 9,0,0,271,697.90,"1,689","16,399.80",0,0,1,0.28,"7,779","3,307.06","9,740","20,405.04"
West Karbi Anglong,2 1,0,0,17,61.10,572,"6,053.41",0,0,7,0.51,14,3.94,610,"6,118.96"
