District,Total Branch,Inactive CSP,Rupay Card active in PMJDY,First time active Rupay Card,Aadhaar Authenticated Sb accounts,Rupay Card issued in KCC
Baksa,56,10,184127,133316,56470,9838
Barpeta,121,16,589654,379425,321338,26527
Biswanath,55,3,110130,86964,45332,11105
Bongaigaon,57,8,186345,118855,65390,6026
Cachar,160,13,304422,176353,154805,14796
Charaideo,35,4,39438,24664,25545,4869
Chirang,35,2,123535,106556,45628,7399
Darrang,68,23,214014,154905,95458,15893
Dhemaji,45,9,250455,223939,45357,9903
Dhubri,86,13,336107,300080,211228,13517
Dibrugarh,180,16,261006,195803,107017,23492
Dima Hasao,29,2,29570,10628,14013,249
Goalpara,67,10,206887,177027,74953,13623
Golaghat,118,15,171400,147610,92638,19912
Hailakandi,44,6,152534,96558,70100,8318
Hojai,54,5,223679,171579,127780,8453
Jorhat,135,13,178814,98459,90087,21132
Kamrup Metro,168,16,391698,231109,152756,27865
Karbi Anglong,64,3,131733,44886,29726,4996
Karimganj,87,7,146839,126051,67518,4211
Kokrajhar,51,7,203610,172339,125519,10901
Lakhimpur,88,7,241492,220356,71611,15831
Majuli,15,1,23535,15827,16134,2940
Morigaon,67,19,122409,80616,94735,13696
Nagaon,153,39,503178,407019,364050,24463
Nalbari,85,5,133065,90588,85108,14030
Sivasagar,96,4,111297,88808,57508,9362
Sonitpur,131,14,271364,175292,198047,15604
South Salmara,11,0,68615,66620,33860,1204
Tinsukia,149,23,247153,125571,137094,25117
Udalguri,49,2,205393,175769,55986,15801
West Karbi Anglong,21,3,25774,25015,18928,743
