District,Total Branch,CY Disbursement No.,CY Disbursement Amt,Outstanding No.,Outstanding Amt
Baksa,56,864,714.34,"11,670","2,661.23"
Barpeta,121,626,"1,087.85","19,139","5,560.25"
Biswanath,55,422,643.85,"7,000","2,146.27"
Bongaigaon,57,540,962.94,"8,363","2,660.40"
Cachar,160,"2,412","1,374.02","8,495","3,103.91"
Charaideo,35,461,623.80,"2,711","1,152.65"
Chirang,35,269,397.80,"2,625",956.23
Darrang,68,281,382.25,"10,345","2,787.82"
Dhemaji,45,388,594.62,"7,678","2,222.59"
Dhubri,86,808,"1,219.78","3,340","1,754.32"
Dibrugarh,180,900,"1,278.61","16,766","4,877.34"
Dima Hasao,29,72,108.70,466,355.28
Goalpara,67,780,879.14,"8,866","2,942.72"
Golaghat,118,908,"1,421.16","20,113","5,849.10"
Hailakandi,44,303,348.05,"1,126",646.96
Hojai,54,319,469.36,"5,324","1,567.63"
Jorhat,135,744,"1,120.91","33,991","7,801.51"
Kamrup Metro,168,"1,084","1,850.10","36,436","8,817.41"
Karbi Anglong,64,"1,801","2,647.49","4,407","3,701.03"
Karimganj,87,821,845.84,"4,716","2,163.05"
Kokrajhar,51,"2,081","1,222.28","3,414","1,419.27"
Lakhimpur,88,795,"1,258.93","18,862","6,345.34"
Majuli,15,3,8.00,"1,585",345.45
Morigaon,67,369,505.22,"4,858","1,803.38"
Nagaon,153,434,695.31,"25,088","6,259.97"
Nalbari,85,234,332.13,"16,745","3,846.51"
Sivasagar,96,653,913.11,"11,299","3,822.29"
Sonitpur,131,475,709.72,"17,832","4,061.68"
South Salmara,11,8,10.20,107,126.14
Tinsukia,149,614,868.86,"9,258","2,840.88"
Udalguri,49,"1,032",618.31,"6,288","1,713.00"
West Karbi Anglong,21,466,695.20,"1,544","1,102.91"
