district,Total Branch,Crop No,Crop Amt,Term Loan No,Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillary No,Ancillary Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt.
Baksa,5 6,"5,669","2,995.68","5,226","2,973.70",27,26.95,546,229.18,"11,468","6,225.51"
Barpeta,1 21,"18,735","10,981.65","18,880","7,323.85",300,232.55,"1,121",680.55,"39,036","19,218.60"
Biswanath,5 5,"6,007","3,623.52","4,547","2,051.76",31,25.41,504,243.91,"11,089","5,944.60"
Bongaigaon,5 7,"2,525","1,432.75","2,693",781.16,26,16.41,339,291.31,"5,583","2,521.63"
Cachar,1 60,"17,675","12,790.54","6,410","3,749.59",136,190.37,"1,741","1,914.39","25,962","18,644.89"
Charaideo,3 5,"1,935","1,689.22","1,554",957.31,15,16.60,405,259.90,"3,909","2,923.03"
Chirang,3 5,"6,190","3,194.51","2,440","1,620.68",52,104.14,195,160.66,"8,877","5,079.99"
Darrang,6 8,"11,248","6,625.07","10,932","5,448.61",198,353.56,536,363.60,"22,914","12,790.84"
Dhemaji,4 5,"7,770","4,755.10","2,934","1,781.41",25,17.81,601,412.35,"11,330","6,966.67"
Dhubri,8 6,"13,017","6,757.16","5,802","2,908.42",246,150.14,741,560.44,"19,806","10,376.16"
Dibrugarh,1 80,"27,430","17,020.28","12,157","4,668.90",171,132.63,"1,549","1,941.48","41,307","23,763.29"
Dima Hasao,2 9,549,175.94,286,172.21,1,1.00,11,18.01,847,367.16
Goalpara,6 7,"8,157","4,093.61","5,041","3,988.37",62,81.04,"1,251",788.66,"14,511","8,951.68"
Golaghat,1 18,"21,806","11,048.02","12,211","3,860.41",59,37.86,"1,279","1,058.33","35,355","16,004.62"
Hailakandi,4 4,"6,402","3,639.74","1,852","1,151.85",48,47.17,285,186.18,"8,587","5,024.94"
Hojai,5 4,"7,868","4,743.46","1,681",952.53,129,63.12,907,615.90,"10,585","6,375.01"
Jorhat,1 35,"19,480","9,629.54","11,698","3,781.07",94,95.74,"1,268",727.92,"32,540","14,234.27"
Kamrup Metro,1 68,"25,634","14,723.07","13,889","5,997.10",98,85.31,"2,594","1,767.51","42,215","22,572.99"
Karbi Anglong,6 4,"7,633","3,443.41","2,031",956.92,51,88.28,198,73.45,"9,913","4,562.06"
Karimganj,8 7,"7,828","6,404.40","5,731","2,710.08",73,54.49,956,"1,130.52","14,588","10,299.49"
Kokrajhar,5 1,"7,009","3,814.88","2,019","1,518.21",131,67.58,107,83.41,"9,266","5,484.08"
Lakhimpur,8 8,"17,491","11,934.31","10,749","4,010.01",70,68.98,"1,358",941.68,"29,668","16,954.98"
Majuli,1 5,"1,611",851.67,989,805.30,6,3.71,42,51.45,"2,648","1,712.13"
Morigaon,6 7,"10,092","7,488.29","7,144","3,793.00",154,120.23,"1,292","1,453.80","18,682","12,855.32"
Nagaon,1 53,"33,582","18,110.61","27,286","9,340.32",179,133.87,"2,411","2,003.06","63,458","29,587.86"
Nalbari,8 5,"11,309","5,377.09","16,504","4,942.97",94,110.41,546,385.44,"28,453","10,815.91"
Sivasagar,9 6,"8,733","4,706.54","8,585","3,361.73",81,103.33,"1,545",876.04,"18,944","9,047.64"
Sonitpur,1 31,"8,660","5,477.69","11,180","5,403.08",102,102.78,"1,632",950.96,"21,574","11,934.51"
South Salmara,1 1,"1,662",517.44,326,423.39,5,6.77,0,0,"1,993",947.60
Tinsukia,1 49,"16,321","11,982.83","7,475","3,027.63",309,181.02,"1,197","1,086.52","25,302","16,278.00"
Udalguri,4 9,"16,819","10,252.98","8,724","4,779.24",47,84.69,457,155.13,"26,047","15,272.04"
West Karbi Anglong,2 1,"1,634",711.63,"1,047",348.10,19,0.00,64,15.12,"2,764","1,074.85"
