District,Total Branch,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,KVIC No.,KVIC Amt,Other Msme No.,Other Msme Amt,Tot Msme (PS) NPA No.,Tot Msme (PS) NPA Amt
Baksa,56,3731,2627.33,515,629.41,1,11.76,601,760.82,43,36.57,4891,4065.89
Barpeta,121,5418,5890.23,1879,2178.69,43,305.40,243,401.55,80,31.42,7663,8807.29
Biswanath,55,2365,1459.95,281,370.13,6,88.71,69,100.60,36,21.92,2757,2041.31
Bongaigaon,57,1409,1528.01,203,752.48,2,155.20,259,353.37,35,12.36,1908,2801.42
Cachar,160,3432,5920.12,1043,2607.81,16,378.58,191,281.17,19,18.38,4701,9206.06
Charaideo,35,1427,1331.60,115,471.19,6,93.15,75,149.34,7,15.60,1630,2060.88
Chirang,35,1311,1224.66,628,671.68,1,16.17,805,913.04,7,5.48,2752,2831.03
Darrang,68,3297,4281.15,703,1255.62,9,60.34,351,539.10,101,74.21,4461,6210.42
Dhemaji,45,1923,2010.87,336,1038.85,1,15.11,142,220.29,13,14.44,2415,3299.56
Dhubri,86,3589,2630.46,1325,1155.68,17,70.71,406,444.82,67,113.75,5404,4415.42
Dibrugarh,180,5759,7661.06,1679,5221.20,34,1236.43,220,349.48,122,59.76,7814,14527.93
Dima Hasao,29,231,168.84,7,18.90,0,0,9,17.98,0,0.00,247,205.72
Goalpara,67,3163,3131.66,657,908.02,5,94.95,315,392.46,48,65.88,4188,4592.97
Golaghat,118,3679,3684.96,171,1175.91,4,9.68,128,210.45,190,37.45,4172,5118.45
Hailakandi,44,1339,1518.18,315,621.57,4,3.14,202,290.78,17,8.27,1877,2441.94
Hojai,54,1988,1286.14,294,428.22,2,22.78,12,14.55,19,5.82,2315,1757.51
Jorhat,135,4964,4365.07,642,3878.12,13,768.91,110,132.79,211,74.36,5940,9219.25
Kamrup Metro,168,7252,7854.45,901,1152.85,36,419.39,442,666.20,155,301.00,8786,10393.89
Karbi Anglong,64,1460,888.02,112,160.76,0,0,97,22.64,10,6.26,1679,1077.68
Karimganj,87,2680,2523.00,227,1051.09,2,100.36,128,233.03,91,39.59,3128,3947.07
Kokrajhar,51,1481,1407.54,1341,1392.64,9,149.38,694,821.29,111,155.81,3636,3926.66
Lakhimpur,88,4719,5417.25,368,1685.33,4,89.09,117,191.10,147,82.72,5355,7465.49
Majuli,15,400,337.95,97,203.62,0,0,22,18.96,37,14.32,556,574.85
Morigaon,67,2318,2637.82,397,735.42,1,35.20,256,390.15,46,8.35,3018,3806.94
Nagaon,153,5108,7762.63,513,2352.27,3,42.05,351,515.51,117,158.71,6092,10831.17
Nalbari,85,4056,3926.53,993,1308.41,15,153.28,460,778.49,44,32.45,5568,6199.16
Sivasagar,96,3964,3510.81,403,1185.19,5,120.58,115,221.46,146,76.66,4633,5114.70
Sonitpur,131,4142,3830.24,1522,2703.04,45,1317.84,266,429.67,136,202.74,6111,8483.53
South Salmara,11,286,432.56,508,569.76,2,5.05,142,193.96,31,103.90,969,1305.23
Tinsukia,149,3338,4256.44,1340,2402.54,10,190.82,236,352.38,64,53.55,4988,7255.73
Udalguri,49,2674,1650.92,2206,3717.60,1,44.90,524,753.02,106,309.60,5511,6476.04
West Karbi Anglong,21,521,132.24,52,5.07,0,0,1,0.06,0,0.00,574,137.37
