District,Total Branch,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt,Agri NPA Pct,Total Msme (PS) O/S No.,Total Msme (PS) O/S Amt,Tot Msme (PS) NPA No.,Tot Msme (PS) NPA Amt,Msme NPA Pct,Total Other PS O/S No.,Total Other PS O/S Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt,Other(PS) NPA Pct,Total PS O/S No.,Total PS O/S Amt,Total PSA NPA No.,Total PSA NPA Amt,TOTAL PSA NPA Pct
Baksa,56,39318,28822.80,11468,6225.51,21.60,17001,18599.70,4891,4065.89,21.86,7575,11172.43,1757,1092.34,9.78,63894,58594.93,18116,11383.74,19.43
Barpeta,121,108114,72112.59,39036,19218.60,26.65,31972,70416.40,7663,8807.29,12.51,40388,43836.83,8337,3980.74,9.08,180474,186365.82,55036,32006.63,17.17
Biswanath,55,43579,33312.39,11089,5944.60,17.85,13951,23519.33,2757,2041.31,8.68,13698,19126.40,3825,1576.45,8.24,71228,75958.12,17671,9562.36,12.59
Bongaigaon,57,30010,26235.41,5583,2521.63,9.61,15968,48676.78,1908,2801.42,5.76,21031,24704.29,4379,1831.88,7.42,67009,99616.48,11870,7154.93,7.18
Cachar,160,82408,70908.62,25962,18644.89,26.29,36414,114834.42,4701,9206.06,8.02,82344,59291.19,15003,6824.20,11.51,201166,245034.23,45666,34675.15,14.15
Charaideo,35,19857,14864.24,3909,2923.03,19.66,5612,11717.93,1630,2060.88,17.59,5232,7548.69,1007,602.62,7.98,30701,34130.86,6546,5586.53,16.37
Chirang,35,28727,24993.96,8877,5079.99,20.32,10006,14005.11,2752,2831.03,20.21,9773,9364.80,1872,540.04,5.77,48506,48363.87,13501,8451.06,17.47
Darrang,68,66600,42922.97,22914,12790.84,29.80,16573,35223.60,4461,6210.42,17.63,23647,22132.73,5334,2585.03,11.68,106820,100279.30,32709,21586.29,21.53
Dhemaji,45,46874,33622.65,11330,6966.67,20.72,19115,23679.83,2415,3299.56,13.93,8528,17968.60,1264,659.24,3.67,74517,75271.08,15009,10925.47,14.51
Dhubri,86,54821,37653.83,19806,10376.16,27.56,18671,35019.47,5404,4415.42,12.61,37523,29631.58,8638,4469.74,15.08,111015,102304.88,33848,19261.32,18.83
Dibrugarh,180,115971,97839.61,41307,23763.29,24.29,42327,181989.49,7814,14527.93,7.98,38760,61681.77,6727,3586.53,5.81,197058,341510.87,55848,41877.75,12.26
Dima Hasao,29,3434,2689.19,847,367.16,13.65,2923,4892.93,247,205.72,4.20,614,3603.73,28,40.65,1.13,6971,11185.85,1122,613.53,5.48
Goalpara,67,50242,31941.79,14511,8951.68,28.02,18117,27196.18,4188,4592.97,16.89,19742,18102.62,5531,2120.24,11.71,88101,77240.59,24230,15664.89,20.28
Golaghat,118,97955,70145.25,35355,16004.62,22.82,23032,56274.98,4172,5118.45,9.10,32677,31274.42,4846,1879.28,6.01,153664,157694.65,44373,23002.35,14.59
Hailakandi,44,25748,18965.78,8587,5024.94,26.49,8484,19885.11,1877,2441.94,12.28,14868,12233.49,2820,1542.88,12.61,49100,51084.38,13284,9009.76,17.64
Hojai,54,34517,22384.83,10585,6375.01,28.48,14637,24220.15,2315,1757.51,7.26,18528,30236.33,2763,3099.62,10.25,67682,76841.31,15663,11232.14,14.62
Jorhat,135,84905,65517.71,32540,14234.27,21.73,30611,131275.04,5940,9219.25,7.02,32682,52310.85,7751,3047.56,5.83,148198,249103.60,46231,26501.08,10.64
Kamrup Metro,168,134437,83866.68,42215,22572.99,26.92,42355,109697.69,8786,10393.89,9.48,73426,59615.73,21929,6608.50,11.09,250218,253180.10,72930,39575.38,15.63
Karbi Anglong,64,50255,30619.05,9913,4562.06,14.90,12300,14408.23,1679,1077.68,7.48,5798,24248.00,866,389.45,1.61,68353,69275.28,12458,6029.19,8.70
