district,Total Branch,Rural No,Urban No,Male No,Female No,Total PMJDY No.,No of Zero Balance A/c,Amt Deposits held in the A/c,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Baksa,56,"5,25,593",695,"2,10,559","3,15,647","5,26,206","40,606","14,930","3,06,332","1,66,071","1,07,118"
Barpeta,121,"11,65,743","3,59,514","7,07,381","8,85,214","15,92,595","2,07,673","38,638","8,69,642","5,03,196","3,94,318"
Biswanath,55,"3,43,569","53,089","1,61,615","2,35,002","3,96,617","37,557","15,362","1,68,992","93,459","68,392"
Bongaigaon,57,"2,10,035","1,41,600","1,68,519","2,39,334","4,07,853","30,531","17,510","2,65,821","1,50,437","59,281"
Cachar,160,"7,57,009","3,39,400","5,10,116","5,86,291","10,96,407","72,972","47,837","5,69,492","4,20,848","1,79,322"
Charaideo,35,"2,46,696","60,900","1,25,142","1,82,430","3,07,572","25,509","12,134","1,49,178","75,450","37,808"
Chirang,35,"3,86,498","14,753","1,73,679","2,27,489","4,01,168","33,911","11,108","2,65,561","1,59,007","97,500"
Darrang,68,"6,46,933","2,11,609","3,68,372","4,90,127","8,58,499","86,498","22,259","3,85,673","2,33,931","1,38,531"
Dhemaji,45,"5,51,952","1,20,630","2,89,352","3,83,127","6,72,479","43,272","17,442","3,86,461","2,44,350","52,625"
Dhubri,86,"12,61,858","3,02,534","6,70,995","8,92,837","15,63,832","2,30,290","30,766","6,33,785","3,89,204","2,60,047"
Dibrugarh,180,"4,83,062","2,06,053","2,98,031","3,97,299","6,95,330","66,221","28,529","4,35,801","2,74,653","1,01,120"
Dima Hasao,29,"49,867","18,544","33,814","36,949","70,763","1,063","3,611","36,218","24,966","15,601"
Goalpara,67,"5,18,740","2,03,653","3,05,084","4,17,134","7,22,218","63,400","17,054","3,81,819","2,44,216","1,39,058"
Golaghat,118,"5,26,460","1,16,052","2,68,602","3,85,115","6,53,717","46,979","23,769","3,17,482","2,06,943","98,633"
Hailakandi,44,"3,36,080","1,40,651","2,22,249","2,64,385","4,86,634","50,265","14,016","2,24,214","1,68,931","87,771"
Hojai,54,"3,65,718","2,98,272","2,91,644","3,72,282","6,63,926","49,178","25,951","4,34,070","2,87,393","1,00,788"
Jorhat,135,"2,77,966","2,30,849","2,15,349","2,93,395","5,08,744","47,570","17,318","2,93,658","2,02,402","64,438"
KARIMGANJ,87,"6,37,074","78,645","3,29,306","3,86,346","7,15,652","54,242","31,287","3,34,543","2,47,827","1,06,102"
Kamrup,168,"8,54,141","1,09,362","4,22,834","5,40,031","9,62,865","88,283","31,744","5,97,693","3,63,671","2,29,249"
Kamrup Metro,414,"1,03,911","3,57,578","2,18,743","2,51,685","4,70,428","47,607","24,854","3,48,328","2,01,684","94,350"
Karbi Anglong,64,"2,04,570","40,502","1,09,868","1,58,275","2,68,143","13,418","9,716","84,889","45,872","43,259"
Kokrajhar,51,"4,92,540","92,994","2,69,742","3,44,922","6,14,664","77,271","16,289","3,13,241","1,86,479","1,37,811"
Lakhimpur,88,"5,57,879","2,14,427","3,43,560","4,53,148","7,96,708","47,923","30,308","4,97,658","3,04,230","88,807"
Majuli,15,"1,31,982","16,444","65,457","82,954","1,48,411","16,500","5,158","75,050","47,234","21,159"
Morigaon,67,"5,61,566","2,31,082","3,45,123","4,47,309","7,92,432","53,646","29,096","4,07,513","2,74,234","1,35,142"
Nagaon,153,"12,06,116","4,96,727","7,42,665","9,60,047","17,02,712","1,75,260","41,440","7,56,308","5,06,595","3,66,101"
Nalbari,85,"3,79,957","94,484","2,08,500","2,81,548","4,90,048","50,895","16,667","2,10,521","1,30,309","1,26,076"
Sivasagar,96,"2,68,309","82,156","1,54,965","2,06,700","3,61,665","22,484","18,111","2,43,173","1,43,892","49,661"
Sonitpur,131,"5,22,796","2,10,494","3,39,158","4,82,154","8,21,312","1,07,012","28,269","4,12,603","2,52,607","1,77,746"
South Salmara,11,"2,42,460","22,027","1,03,403","1,61,054","2,64,457","39,115","3,762","1,04,467","64,837","52,497"
Tinsukia,149,"4,61,132","2,95,525","3,35,060","4,21,546","7,56,606","68,386","24,768","4,36,713","3,09,917","1,20,441"
Udalguri,49,"5,99,351","1,06,647","2,98,296","4,07,591","7,05,887","92,670","16,965","3,41,972","2,06,539","1,16,714"
West Karbi Anglong,21,"1,10,422",0,"47,344","63,070","1,10,414","5,127","3,401","35,981","20,170","19,022"
