District,Total Branch,Enrolment under PMJJBY,Eligible cases under PMJJBY,Renewals under PMJJBY,Enrolment under PMSBY,Eligible cases under PMSBY,Renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Baksa,56,"83,580","4,39,488","28,061","2,71,118","6,51,161","79,671","24,138","3,78,836"
Barpeta,122,"2,05,238","11,09,872","63,938","8,35,863","17,08,105","2,74,730","60,226","11,01,327"
Biswanath,56,"95,701","2,85,382","30,635","2,36,018","4,31,874","80,675","29,936","3,61,655"
Bongaigaon,58,"74,180","3,19,360","19,170","3,08,528","4,76,560","88,367","21,089","4,03,797"
Cachar,161,"1,81,282","5,96,867","56,989","5,58,175","9,90,536","1,99,982","43,454","7,82,911"
Charaideo,35,"54,724","1,48,682","16,691","1,50,491","2,41,103","53,895","13,251","2,18,466"
Chirang,35,"73,556","3,09,492","22,059","2,32,436","4,66,109","68,236","14,729","3,20,721"
Darrang,69,"1,33,365","5,33,621","39,650","4,29,623","8,32,758","1,44,454","30,236","5,93,224"
Dhemaji,46,"1,34,300","2,98,346","34,222","4,42,060","5,24,117","1,28,320","39,304","6,15,664"
Dhubri,87,"1,69,977","7,39,943","43,752","7,68,098","12,88,439","2,49,733","48,120","9,86,195"
Dibrugarh,181,"2,32,292","6,59,042","68,392","5,97,845","10,13,817","1,95,415","52,923","8,83,060"
Dima Hasao,30,"20,302","81,809","8,222","52,899","1,13,507","24,196","7,136","80,337"
Goalpara,68,"1,09,737","5,02,547","29,042","5,09,700","8,25,119","1,50,438","30,404","6,49,841"
Golaghat,119,"1,67,460","3,66,515","46,874","4,10,369","5,85,499","1,36,214","41,933","6,19,762"
Hailakandi,45,"55,777","2,62,457","20,882","1,95,054","4,22,683","72,735","17,344","2,68,175"
Hojai,55,"1,25,629","3,30,765","27,961","3,60,574","5,67,511","97,478","21,304","5,07,507"
Jorhat,136,"1,42,932","3,97,485","41,697","4,28,011","6,26,880","1,57,889","37,444","6,08,387"
Kamrup Metro,168,"1,63,584","8,52,419","53,640","5,29,541","12,71,659","1,71,869","53,590","7,46,715"
Karbi Anglong,65,"70,125","2,18,716","28,454","1,79,126","3,06,316","85,110","32,162","2,81,413"
Karimganj,88,"85,155","3,32,421","25,341","2,58,300","5,76,112","87,687","24,990","3,68,445"
Kokrajhar,52,"98,779","4,56,406","29,576","3,22,419","7,46,701","87,117","15,172","4,36,370"
Lakhimpur,89,"1,84,521","3,64,209","47,061","5,86,126","6,18,163","1,76,244","42,397","8,13,044"
Majuli,15,"17,060","70,875","4,692","52,331","1,16,158","20,333","7,911","77,302"
Morigaon,68,"71,939","3,36,265","24,627","2,11,566","5,41,857","85,626","24,006","3,07,511"
Nagaon,154,"2,60,579","7,55,746","76,063","8,47,829","13,88,217","2,44,416","60,611","11,69,019"
Nalbari,86,"97,894","4,60,516","34,900","2,75,428","6,80,862","1,07,353","22,764","3,96,086"
Sivasagar,97,"1,52,659","3,07,697","47,773","3,53,991","4,78,901","1,28,351","23,267","5,29,917"
Sonitpur,132,"2,33,147","6,88,087","72,821","5,65,267","10,35,270","1,88,721","44,663","8,43,077"
South Salmara,11,"12,399","1,51,169","2,153","1,00,039","2,55,538","30,886","5,108","1,17,546"
Tinsukia,150,"1,79,537","6,04,261","49,803","4,95,944","9,11,150","1,54,295","43,331","7,18,812"
Udalguri,50,"1,31,015","5,87,293","41,237","3,47,578","9,07,969","1,10,137","20,363","4,98,956"
West Karbi Anglong,21,"28,066","74,202","11,236","74,831","1,10,753","30,234","11,877","1,14,774"
