District,Total Branch,Agri (PS) Target No.,Agri (PS) Target Amt,Agri (PS) Achieved No.,Agri (PS) Achieved Amt,Agri(PS) Achv% Amt,Crop Loan Target No.,Crop Loan Target Amt,Crop Loan Achieved No.,Crop Loan Achieved Amt,Crop Loan Achv% Amt,MSME (PS) Target No.,MSME (PS) Target Amt,MSME (PS) Achieved No.,MSME (PS) Achieved Amt,MSME (PS) Achv% Amt,Other PS Target No.,Other PS Target Amt,Other PS Achieved No.,Other PS Achieved Amt,Other PS Achv% Amt,Total (PS) Target No.,Total (PS) Target Amt,Total (PS) Achieved No.,Total (PS) Achieved Amt,Total(PS) Achv% Amt
Baksa,56,"49,272","13,615.61","6,804","10,553.37",77.51,"25,756","8,491.78","2,610","2,652.05",31.23,"1,905","1,681.00","3,684","8,574.72",510.10,"4,185","4,530.66","1,642","1,448.07",31.96,"55,362","19,827.27","12,130","20,576.16",103.78
Barpeta,121,"83,903","1,18,203.25","20,938","22,651.93",19.16,"66,190","76,636.72","7,308","8,058.83",10.52,"8,874","36,124.61","6,201","39,199.21",108.51,"3,942","17,153.05","8,511","6,744.69",39.32,"96,719","1,71,480.91","35,650","68,595.83",40.00
Biswanath,55,"11,942","24,758.81","8,247","12,065.49",48.73,"8,085","15,370.00","4,372","3,754.53",24.43,"3,718","9,839.70","3,721","13,493.32",137.13,"2,557","6,915.74","1,971","2,004.54",28.99,"18,217","41,514.25","13,939","27,563.35",66.39
Bongaigaon,57,"11,341","10,145.46","8,335","11,508.02",113.43,"8,265","5,072.73","2,395","3,512.62",69.25,"7,254","31,393.54","2,620","21,822.63",69.51,"1,496","5,550.00","4,627","3,832.05",69.05,"20,091","47,089.00","15,582","37,162.70",78.92
Cachar,160,"39,581","44,268.64","14,619","16,451.73",37.16,"15,145","15,620.55","8,120","7,945.65",50.87,"10,389","65,480.00","6,723","51,589.88",78.79,"3,429","15,055.72","15,681","11,989.22",79.63,"53,399","1,24,804.36","37,023","80,030.83",64.13
Charaideo,35,"28,823","34,359.00","3,432","6,673.33",19.42,"19,276","18,937.00","1,286","1,516.33",8.01,"2,020","7,963.00","1,320","3,421.22",42.96,"2,615","9,827.00","1,384","1,304.75",13.28,"33,458","52,149.00","6,136","11,399.30",21.86
Chirang,35,"11,553","9,519.76","4,714","7,989.03",83.92,"5,694","5,405.78","2,219","2,288.19",42.33,"1,968","6,782.41","1,458","5,854.97",86.33,"1,731","3,948.27","2,731","1,964.29",49.75,"15,252","20,250.44","8,903","15,808.29",78.06
Darrang,68,"20,652","16,448.02","11,692","15,608.51",94.90,"13,340","8,934.46","4,646","4,989.69",55.85,"7,127","20,559.87","3,062","14,850.24",72.23,"1,232","4,112.88","4,301","3,944.40",95.90,"29,011","41,120.77","19,055","34,403.15",83.66
Dhemaji,45,"16,657","17,962.00","12,235","13,445.21",74.85,"7,477","6,517.00","5,941","5,414.16",83.08,"4,887","10,128.00","5,011","10,293.05",101.63,"3,235","6,921.00","1,858","2,461.44",35.56,"24,779","35,011.00","19,104","26,199.70",74.83
Dhubri,86,"54,127","64,477.22","9,635","13,999.30",21.71,"16,296","14,162.91","4,392","5,214.83",36.82,"3,968","28,587.15","3,305","18,199.82",63.66,"4,036","10,777.73","7,865","5,174.54",48.01,"62,131","1,03,842.10","20,805","37,373.66",35.99
Dibrugarh,180,"39,259","62,124.38","28,721","40,743.83",65.58,"23,673","29,976.94","14,589","13,639.48",45.50,"9,602","48,485.36","10,965","93,955.29",193.78,"3,044","18,143.52","8,789","8,304.00",45.77,"51,905","1,28,753.26","48,475","1,43,003.12",111.07
Dima Hasao,29,"7,548","11,387.84",985,"1,609.66",14.13,"5,576","7,200.46",328,220.52,3.06,614,"1,904.00",742,"1,773.65",93.15,333,765.40,383,"2,515.81",328.69,"8,495","14,057.24","2,110","5,899.12",41.96
Goalpara,67,"20,436","19,350.00","9,544","14,169.92",73.23,"11,865","11,321.00","3,776","4,788.49",42.30,"4,002","11,280.00","3,147","12,105.21",107.32,"4,882","8,230.00","4,747","3,434.26",41.73,"29,320","38,860.00","17,438","29,709.39",76.45
