district,Total Branch,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
Baksa,56,542,"1,309.03","6,696","7,413.17","2,727","7,184.32","18,508","27,911.00"
Barpeta,121,"1,723","2,565.50","14,029","10,426.67",897,"3,270.29","6,179","10,306.98"
Biswanath,55,"1,007","1,838.53","7,082","6,652.63","1,177","1,680.39","10,721","9,601.03"
Bongaigaon,57,"1,133","2,480.68","7,649","9,037.39",795,"4,172.99","5,650","12,929.65"
Cachar,160,"5,591","9,007.95","41,989","33,722.06",795,"2,488.15","8,690","11,759.65"
Charaideo,35,203,293.92,"1,327","1,326.58",207,527.33,"1,310","1,775.69"
Chirang,35,750,"1,010.31","3,806","3,699.11","2,104","8,823.76","14,606","26,994.28"
Darrang,68,511,970.18,"4,211","3,865.07",386,995.88,"2,891","3,996.57"
Dhemaji,45,717,"1,680.98","6,072","6,796.51","5,162","13,585.59","25,103","41,625.40"
Dhubri,86,"1,027","1,898.53","8,342","7,079.90",409,"1,262.66","3,036","4,216.74"
Dibrugarh,180,"3,124","4,880.82","17,166","18,822.53","3,803","9,562.61","20,061","32,104.75"
Dima Hasao,29,115,554.33,"1,378","2,395.74","1,353","6,035.56","6,016","16,822.40"
Goalpara,67,830,"1,107.60","5,756","5,278.81","2,192","3,788.28","15,605","14,974.79"
Golaghat,118,"2,357","3,018.09","14,507","12,089.45","2,762","4,946.09","15,967","16,159.99"
Hailakandi,44,"1,481","1,695.19","7,870","6,376.61",117,376.16,"1,786","1,936.32"
Hojai,54,"2,002","2,815.29","11,583","8,743.01",732,"2,175.74","4,746","6,185.84"
Jorhat,135,"2,190","3,429.62","14,320","13,436.83","2,305","4,909.27","16,977","18,083.09"
KARIMGANJ,87,"4,578","3,877.38","21,204","12,806.53",319,507.75,"3,167","2,668.53"
Kamrup,168,"2,522","3,500.07","21,166","15,718.82","3,043","6,212.87","19,408","19,907.47"
Kamrup Metro,414,"3,840","12,391.27","22,596","42,934.37","5,888","23,561.23","27,664","70,677.62"
Karbi Anglong,64,383,"1,082.91","1,572","3,457.29","5,692","15,530.43","21,300","47,294.86"
Kokrajhar,51,829,"1,645.61","4,336","6,300.17","4,463","17,515.15","24,404","63,299.08"
Lakhimpur,88,"1,706","3,216.66","16,906","15,818.59","5,082","10,810.60","27,174","37,988.86"
Majuli,15,233,674.36,"1,292","1,461.73",625,"2,091.55","2,607","4,110.97"
Morigaon,67,"1,453","1,490.07","11,469","7,719.86","1,968","2,482.31","14,920","10,604.58"
Nagaon,153,"3,193","4,857.02","24,825","19,055.86","2,617","4,656.24","16,589","15,364.25"
Nalbari,85,660,996.22,"6,980","5,691.25",472,"1,303.16","5,370","7,252.28"
Sivasagar,96,"1,490","3,017.25","8,875","10,014.38","1,159","3,256.61","6,555","9,949.15"
Sonitpur,131,"2,086","3,368.66","14,069","12,926.51","2,068","4,592.77","17,140","18,032.45"
South Salmara,11,27,127.84,46,224.34,19,126.23,60,248.38
Tinsukia,149,"1,184","1,922.05","8,100","10,308.43","1,976","5,827.84","12,004","19,457.49"
Udalguri,49,675,"1,235.95","3,615","3,599.38","4,433","10,018.40","36,075","43,738.31"
West Karbi Anglong,21,65,198.62,"1,219",861.94,"1,027","3,348.70","4,605","11,314.89"
