District,Total Branch,Micro Tl A/C,Micro Tl Amt,Micro Wc A/C,Micro Wc Amt,Small Tl A/C,Small Tl Amt,Small Wc A/C,Small Wc Amt,Medium Tl A/C,Medium Tl Amt,Medium Wc A/C,Medium Wc Amt,KVIC Tl A/C,KVIC Tl Amt,KVIC Wc A/C,KVIC Wc Amt,Others under MSMEs A/C,Others under MSMEs Amt,Total Msme (PS) Disb No.,Total Msme (PS) Disb Amt
Baksa,56,2682,4297.06,128,730.70,15,388.38,7,734.59,0,0,1,1500.00,1,,0,0,850,923.99,3684,8574.72
Barpeta,121,4935,12975.12,779,13502.57,142,5574.16,49,4829.38,22,295.96,6,1518.65,29,195.05,4,26.65,235,281.67,6201,39199.21
Biswanath,55,2976,7844.34,169,1363.10,91,2937.95,15,795.32,2,41.37,1,103.79,10,45.57,0,0,457,361.88,3721,13493.32
Bongaigaon,57,1924,7766.18,230,3646.46,59,4795.91,31,3774.28,16,1094.25,3,403.70,2,0.06,1,0.01,354,341.78,2620,21822.63
Cachar,160,4802,16477.00,845,7916.48,188,12173.41,84,8176.63,35,2411.42,17,3289.78,49,238.35,0,0,703,906.81,6723,51589.88
Charaideo,35,1116,2219.05,139,531.77,24,464.74,10,167.46,0,0,0,0,1,0,0,0,30,38.20,1320,3421.22
Chirang,35,1018,2666.79,97,791.34,30,1706.06,4,352.59,0,0,0,0,4,11.77,0,0,305,326.42,1458,5854.97
Darrang,68,2224,6166.13,326,4853.66,60,1563.71,40,1862.26,4,83.49,2,1.20,8,14.53,2,1.02,396,304.24,3062,14850.24
Dhemaji,45,3888,6503.53,278,1386.10,64,717.48,18,727.44,1,3.80,0,0,63,148.21,0,0,699,806.49,5011,10293.05
Dhubri,86,2834,8831.21,236,2638.45,120,4305.58,21,2154.56,2,3.39,2,60.50,1,0.02,0,0,89,206.11,3305,18199.82
Dibrugarh,180,8767,34682.38,928,12918.86,491,26625.40,160,14540.44,61,4156.59,6,328.05,39,279.46,1,6.76,512,417.35,10965,93955.29
Dima Hasao,29,509,1027.18,77,455.69,2,10.75,0,0,1,4.75,0,0,8,27.50,0,0,145,247.78,742,1773.65
Goalpara,67,2562,4128.34,369,1762.50,41,3707.07,21,1054.93,0,0,7,1193.82,13,40.98,0,0,134,217.57,3147,12105.21
Golaghat,118,3624,10818.79,465,2434.97,150,6727.97,29,2748.64,20,378.80,0,0,4,10.29,1,0.49,1062,997.10,5355,24117.05
Hailakandi,44,1039,3143.82,265,2516.17,9,557.62,34,3280.80,8,414.23,1,8.28,8,16.62,4,15.41,124,188.91,1492,10141.86
Hojai,54,2392,7935.27,504,5476.82,61,2393.19,28,1404.57,1,9.00,1,4.88,13,67.09,0,0,16,46.18,3016,17337.00
Jorhat,135,5119,18284.20,617,8744.90,222,15147.16,75,5542.30,44,13852.31,11,1565.68,6,23.33,2,0,1333,1484.22,7429,64644.10
Kamrup Metro,168,7803,18855.61,865,8424.70,179,5924.24,92,7511.11,6,649.97,4,283.50,116,273.83,1,0.48,1262,1363.36,10328,43286.80
Karbi Anglong,64,2765,4967.30,225,1379.45,7,228.25,7,732.43,0,0,0,0,16,58.90,2,1.5,51,73.55,3073,7441.38
Karimganj,87,1555,6085.05,402,3606.74,68,2745.62,30,794.10,6,157.60,0,13.00,22,102.00,0,0,800,952.55,2883,14456.66
Kokrajhar,51,1820,4163.73,135,1675.33,75,2168.53,17,1760.37,4,13.57,2,10.32,0,0,0,0,61,131.24,2114,9923.09
Lakhimpur,88,5409,11360.60,354,3438.19,65,3438.21,45,3792.65,4,969.73,4,922.28,23,151.53,1,0.87,3142,2667.65,9047,26741.71
Majuli,15,741,1110.96,79,444.28,3,43.80,2,67.00,0,0,0,0,0,0,0,0,256,278.93,1081,1944.97
Morigaon,67,2102,4307.74,179,2489.42,20,550.89,22,1849.18,0,0,3,810.11,6,32.41,0,0,761,583.15,3093,10622.90
Nagaon,153,3576,14849.75,658,9204.70,114,8512.80,72,5519.23,27,1555.82,3,199.50,20,139.92,4,25.14,539,630.89,5013,40637.75
Nalbari,85,2328,6172.64,335,3911.96,85,2774.96,37,2232.52,0,0,0,0,19,42.77,4,8.9,483,688.96,3291,15832.71
Sivasagar,96,4665,17109.42,750,6239.71,160,9226.18,76,5718.06,20,4149.90,2,50.00,42,158.72,0,0,245,307.95,5960,42959.94
Sonitpur,131,3294,13892.61,713,7588.77,191,14789.72,72,7470.77,48,2252.61,8,1031.48,21,54.99,1,0.11,437,565.12,4785,47646.18
South Salmara,11,230,791.03,25,48.90,18,539.62,0,0,1,21.00,0,0,1,3.00,0,0,0,0,275,1403.55
Tinsukia,149,4550,31608.56,968,16140.35,227,20072.83,125,12348.38,17,2951.20,12,2355.79,14,96.31,1,0,322,493.83,6236,86067.25
Udalguri,49,1078,2265.25,168,1545.00,21,375.18,7,127.02,1,9.90,1,0.40,2,4.42,0,0,649,685.12,1927,5012.29
West Karbi Anglong,21,272,415.91,29,28.11,0,0,0,0,6,7.32,0,0,1,0,0,0,2,5.90,310,457.24
