district,Total Branch,Agri NPS No.,Agri NPS Amt.,Education NPS No.,Education NPS Amt.,Housing NPS No.,Housing NPS Amt.,Personal Loan No.,Personal Loan Amt.,Other NPS No.,Other NPS Amt.,Tot NPS O/S No.,Tot NPS O/S Amt.,Tot Non Prio Sec NPA No.,Tot Non Prio Sec NPA Amt.,NPS NPA Amt.%
Baksa,56,2,6.14,2,20.56,488,"2,103.76","2,864","4,887.33","10,336","34,159.76","13,692","41,177.55","1,129","1,214.95",2 .95
Barpeta,121,36,490.10,18,76.95,"2,358","14,146.63","9,180","18,020.64","60,389","1,47,873.20","71,981","1,80,607.52","5,818","4,649.97",2 .57
Biswanath,55,9,4.23,17,19.51,817,"4,407.46","2,566","4,036.97","16,313","34,147.94","19,722","42,616.11","1,323",990.24,2 .32
Bongaigaon,57,47,123.15,15,107.89,"2,045","17,117.35","6,440","13,665.94","34,697","1,00,542.04","43,244","1,31,556.37","3,327","2,837.75",2 .16
Cachar,160,101,491.98,28,117.98,"2,611","19,273.61","11,086","20,779.35","1,02,459","1,94,780.98","1,16,285","2,35,443.90","16,854","12,243.32",5 .20
Charaideo,35,0,0.00,10,31.39,307,"1,896.77","1,209","1,968.73","7,262","24,571.61","8,788","28,468.50",457,409.08,1 .44
Chirang,35,4,2.00,6,11.73,540,"2,429.47","1,808","2,984.00","10,282","31,955.39","12,640","37,382.59","1,497","1,105.72",2 .96
Darrang,68,1,0.30,13,47.02,"1,510","9,715.99","5,241","9,363.23","31,987","68,646.42","38,752","87,772.96","3,409","2,546.10",2 .90
Dhemaji,45,7,2.04,3,38.29,"1,525","4,847.57","4,580","10,747.87","18,607","61,150.46","24,722","76,786.23",787,894.54,1 .16
Dhubri,86,8,2.39,5,27.96,"1,623","6,832.94","5,435","8,165.80","44,787","92,612.75","51,858","1,07,641.84","8,626","6,411.52",5 .96
Dibrugarh,180,121,842.14,72,424.86,"4,583","38,528.23","17,728","38,762.00","82,091","2,22,501.66","1,04,595","3,01,058.89","3,858","3,430.90",1 .14
Dima Hasao,29,0,0.00,0,0.00,164,"1,144.40","2,749","8,691.58","7,079","25,409.28","9,992","35,245.26",270,327.51,0 .93
Goalpara,67,11,6.73,5,52.06,863,"2,985.98","4,030","6,547.07","24,662","58,451.97","29,571","68,043.81","2,761","2,242.01",3 .29
Golaghat,118,20,402.12,78,143.60,"2,378","13,700.20","7,242","14,405.64","44,742","1,18,397.75","54,460","1,47,049.31","2,451","1,563.63",1 .06
Hailakandi,44,327,134.14,2,3.08,645,"2,298.88","2,227","3,896.44","17,215","35,635.49","20,416","41,968.03","3,152","2,215.44",5 .28
Hojai,54,12,1.24,1,28.41,767,"3,990.99","3,296","5,193.93","22,520","50,614.83","26,596","59,829.40","2,548","1,896.81",3 .17
Jorhat,135,12,278.99,86,674.98,"5,870","43,228.30","12,071","23,481.53","67,640","1,74,833.56","85,679","2,42,497.36","3,779","5,313.94",2 .19
KARIMGANJ,87,3,0.40,2,10.83,474,"3,961.72","3,866","8,490.00","34,800","53,477.38","39,145","65,940.33","7,904","6,477.13",9 .82
Kamrup,168,61,320.38,106,256.29,"3,265","31,767.65","17,131","45,300.69","91,453","2,36,295.08","1,12,016","3,13,940.09","11,200","9,048.42",2 .88
Kamrup Metro,414,166,6456.49,469,4712.75,"23,867","3,55,103.69","54,058","1,23,894.02","3,64,027","12,55,954.42","4,42,587","17,46,121.37","19,120","34,019.47",1 .95
Karbi Anglong,64,1,1.07,1,1.62,774,"4,975.15","6,009","19,587.12","18,947","67,385.83","25,732","91,950.79",745,930.84,1 .01
Kokrajhar,51,4,0.97,1,16.31,991,"9,008.96","4,403","8,864.68","27,861","80,511.55","33,260","98,402.47","2,474","2,015.15",2 .05
Lakhimpur,88,7,80.09,6,81.04,"1,986","12,957.83","8,094","15,817.95","38,009","93,145.28","48,102","1,22,082.19","2,919","2,517.64",2 .06
Majuli,15,0,0.00,0,0.00,103,273.02,"1,770","4,718.45","1,954","8,133.28","3,827","13,124.75",200,274.01,2 .09
Morigaon,67,29,18.78,3,65.60,520,"3,749.55","6,299","13,762.61","18,121","40,666.48","24,972","58,263.02","2,429","2,564.41",4 .40
Nagaon,153,9,43.48,12,126.27,"2,939","18,010.75","8,992","18,164.14","75,061","1,77,023.20","87,013","2,13,367.84","8,661","6,802.91",3 .19
Nalbari,85,18,57.10,6,55.21,"2,516","15,270.78","7,069","18,650.09","35,587","85,064.71","45,196","1,19,097.89","3,770","3,644.72",3 .06
Sivasagar,96,28,81.45,35,122.10,"2,630","18,160.98","8,904","20,175.68","57,208","1,49,724.39","68,805","1,88,264.60","3,143","2,262.01",1 .20
Sonitpur,131,5,23.33,60,376.60,"3,770","33,244.73","11,317","22,017.13","64,685","1,58,349.62","79,837","2,14,011.41","5,113","3,513.42",1 .64
South Salmara,11,0,0.00,0,0.00,246,162.09,567,564.77,"1,910","8,205.95","2,723","8,932.81",242,292.59,3 .28
Tinsukia,149,31,504.05,44,164.78,"2,587","24,035.09","10,389","22,661.42","53,412","1,58,848.14","66,463","2,06,213.48","3,779","16,200.77",7 .86
Udalguri,49,0,0.00,15,33.50,"1,740","2,134.00","2,288","2,824.91","13,699","49,365.62","17,742","54,358.03","1,025",982.63,1 .81
West Karbi Anglong,21,0,0.00,0,0.00,87,158.68,"1,147","3,921.42","2,906","11,233.72","4,140","15,313.82",199,185.98,1 .21
