District,Total Branch,Agri NPS No.,Agri NPS Amt,Education NPS No.,Education NPS Amt,Housing NPS No.,Housing NPS Amt,Personal Loan No.,Personal Loan Amt,Other NPS No.,Other NPS Amt,Tot Non Prio Sec NPA No.,Tot Non Prio Sec NPA Amt
Baksa,56,0,0.00,0,0.00,0,0,444,464.75,685,750.20,1129,1214.95
Barpeta,121,0,0.00,0,0.00,16,71.58,595,514.98,5207,4063.41,5818,4649.97
Biswanath,55,0,0.00,0,0.00,2,9,176,123.50,1145,857.74,1323,990.24
Bongaigaon,57,0,0.00,0,0.00,3,15.75,155,144.02,3169,2677.98,3327,2837.75
Cachar,160,3,268.20,0,0.00,15,157.92,335,270.84,16501,11546.36,16854,12243.32
Charaideo,35,0,0.00,0,0.00,3,49,73,87.92,381,272.16,457,409.08
Chirang,35,0,0.00,0,0.00,1,4,79,42.10,1417,1059.62,1497,1105.72
Darrang,68,1,0.30,0,0.00,4,83.71,350,278.61,3054,2183.48,3409,2546.10
Dhemaji,45,0,0.00,0,0.00,3,7.73,98,131.11,686,755.70,787,894.54
Dhubri,86,0,0.00,0,0.00,4,15.53,513,456.34,8109,5939.65,8626,6411.52
Dibrugarh,180,1,1.50,0,0.00,19,346.62,517,569.24,3321,2513.54,3858,3430.90
Dima Hasao,29,0,0.00,0,0.00,8,55,34,70.58,228,201.93,270,327.51
Goalpara,67,0,0.00,0,0.00,1,0.37,220,186.91,2540,2054.73,2761,2242.01
Golaghat,118,0,0.00,0,0.00,7,53.89,220,185.17,2224,1324.57,2451,1563.63
Hailakandi,44,318,131.06,0,0.00,6,32.18,110,132.51,2718,1919.69,3152,2215.44
Hojai,54,0,0.00,0,0.00,2,3.39,82,76.30,2464,1817.12,2548,1896.81
Jorhat,135,0,0.00,0,36.11,14,201.52,461,374.49,3304,4701.82,3779,5313.94
Kamrup Metro,168,0,0.00,0,0.00,28,279.54,584,839.97,10588,7928.91,11200,9048.42
Karbi Anglong,64,1,1.07,0,0.00,6,36.33,117,186.02,621,707.42,745,930.84
Karimganj,87,0,0.00,0,0.00,4,35,126,167.34,7774,6274.79,7904,6477.13
Kokrajhar,51,0,0.00,0,0.00,1,0.48,232,153.03,2241,1861.64,2474,2015.15
Lakhimpur,88,0,0.00,0,0.00,8,80.34,263,343.67,2648,2093.63,2919,2517.64
Majuli,15,0,0.00,0,0.00,1,4,75,126.98,124,143.03,200,274.01
Morigaon,67,0,0.00,0,0.00,3,33.58,462,972.57,1964,1558.26,2429,2564.41
Nagaon,153,1,2.28,1,1.66,15,123.53,568,787.24,8076,5888.20,8661,6802.91
Nalbari,85,0,0.00,0,0.00,21,111.04,647,909.48,3102,2624.20,3770,3644.72
Sivasagar,96,0,0.00,1,0.11,5,58.51,239,329.95,2898,1873.44,3143,2262.01
Sonitpur,131,0,0.00,0,0.00,12,103.17,583,479.84,4518,2930.41,5113,3513.42
South Salmara,11,0,0.00,0,0.00,0,0,65,73.52,177,219.07,242,292.59
Tinsukia,149,0,0.00,0,0.00,12,190.05,333,449.03,3434,15561.69,3779,16200.77
Udalguri,49,0,0.00,0,0.00,1,5,211,183.55,813,794.08,1025,982.63
West Karbi Anglong,21,0,0.00,0,0.00,0,0,28,58.58,171,127.40,199,185.98
