District,Total Branch,During the Quarter Savings Linked No.,During the Quarter Savings Linked Amt,During the Quarter Credit Linked No.,During the Quarter Credit Linked Amt,Current FY Savings Linked No.,Current FY Savings Linked Amt,Current FY Credit Linked No.,Current FY Credit Linked Amt,SHG O/S No.,SHG O/S Amt,SHG NPA No.,SHG NPA Amt,SHG NPA Pct
Baksa,56,1201,188.07,759,2934.53,1553,211.93,1815,6440.90,5978,9248.48,1058,515.40,5.57
Barpeta,121,1505,798.09,1389,3660.61,2390,1073.45,3333,8821.02,10394,13212.89,1548,1062.68,8.04
Biswanath,55,865,160.31,889,2351.42,1501,288.92,2899,6765.83,7715,10022.78,1747,914.02,9.12
Bongaigaon,57,1129,377.56,612,1813.11,1465,477.59,1490,4779.69,4000,5988.72,248,133.45,2.23
Cachar,160,1220,487.35,1010,2119.14,1928,684.31,2472,4738.90,6916,7465.44,1199,746.73,10.00
Charaideo,35,329,59.12,576,2200.19,414,69.45,1190,4158.73,3693,4802.12,278,151.75,3.16
Chirang,35,1053,84.79,434,1528.63,1154,91.16,1179,3824.52,3867,5581.56,598,460.77,8.26
Darrang,68,1150,342.12,829,2751.55,1662,435.59,1893,5946.29,6588,8632.60,1258,981.45,11.37
Dhemaji,45,1952,238.82,911,2615.04,2854,447.28,3191,7910.74,7629,11378.83,945,388.76,3.42
Dhubri,86,3872,1148.15,977,3201.23,5001,1402.75,3111,7943.08,7147,8392.71,1311,621.87,7.41
Dibrugarh,180,2397,565.90,1321,3369.82,4178,873.54,4145,8959.20,9296,12779.02,494,246.32,1.93
Dima Hasao,29,196,6.86,229,663.92,296,8.53,467,1183.51,1254,1676.28,85,31.80,1.90
Goalpara,67,1250,325.87,1000,3810.36,1966,488.09,2455,8541.60,6737,8431.52,1024,547.60,6.49
Golaghat,118,1924,1161.06,1207,3654.83,3607,1615.80,4231,11078.65,8249,13718.87,564,310.28,2.26
Hailakandi,44,959,239.75,311,932.87,1283,297.96,845,1832.54,2764,3020.81,583,294.19,9.74
Hojai,54,969,127.81,710,1411.33,1378,199.66,2137,3267.21,4283,5197.07,566,332.41,6.40
Jorhat,135,1116,445.41,745,2467.43,1925,701.79,2686,8192.90,6722,10686.21,469,320.94,3.00
Kamrup Metro,168,1617,1620.48,2011,5601.46,3822,2491.57,5587,14238.91,12411,16872.82,1855,1243.56,7.37
Karbi Anglong,64,283,60.18,925,3368.00,509,84.37,2564,7963.80,6444,9570.36,531,149.84,1.57
Karimganj,87,765,155.84,508,1574.01,987,173.75,1258,2802.45,4186,3836.47,1234,559.64,14.59
Kokrajhar,51,1901,198.45,486,1551.55,2313,239.32,1327,4017.47,3718,4514.64,527,474.85,10.52
Lakhimpur,88,2099,518.25,1338,3154.60,3435,864.88,3538,7861.94,8869,11706.14,1009,516.36,4.41
Majuli,15,131,10.04,157,447.57,283,12.91,1099,2695.76,1522,2237.34,225,103.45,4.62
Morigaon,67,728,250.38,958,2168.93,1212,342.25,2477,5355.98,6298,7119.78,1935,1025.23,14.40
Nagaon,153,3796,725.75,2057,5447.34,5591,1193.28,5128,12479.61,10992,16069.99,1074,639.49,3.98
Nalbari,85,957,743.23,1163,3234.37,1857,1065.76,2757,7736.27,9209,14424.08,1033,542.48,3.76
Sivasagar,96,909,420.14,558,1622.40,1587,535.48,1605,4442.10,4486,6069.54,347,264.26,4.35
Sonitpur,131,2561,551.01,1349,4037.85,3261,725.44,2991,8562.88,8149,11346.31,1820,873.51,7.70
South Salmara,11,425,30.47,87,444.68,637,33.81,169,689.50,1102,1164.57,191,70.57,6.06
Tinsukia,149,1410,581.17,906,2702.17,2508,860.44,2563,7142.24,8080,10626.29,613,329.32,3.10
Udalguri,49,1565,139.68,543,1700.59,1714,147.76,1213,3726.35,3972,5419.87,936,605.79,11.18
West Karbi Anglong,21,332,14.77,265,1036.10,389,15.91,826,2090.60,2843,2832.49,712,198.91,7.02
