district,Total Branch,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
Baksa,56,"32,207","21,218.04","5,876","8,836.98"
Barpeta,121,"1,12,066","73,494.23","24,707","28,277.86"
Biswanath,55,"37,215","24,236.92","6,467","8,501.28"
Bongaigaon,57,"44,585","40,576.50","10,747","15,024.95"
Cachar,160,"1,44,876","1,01,381.57","26,717","33,927.57"
Charaideo,35,"15,408","15,680.29","3,769","7,465.75"
Chirang,35,"23,617","17,502.48","4,881","7,192.05"
Darrang,68,"66,939","44,251.59","12,081","17,148.42"
Dhemaji,45,"40,878","37,261.54","11,070","15,105.17"
Dhubri,86,"71,146","43,324.24","13,113","14,688.84"
Dibrugarh,180,"1,20,226","1,17,173.15","34,754","46,401.90"
Dima Hasao,29,"5,718","13,409.27","1,532","5,346.77"
Goalpara,67,"55,207","37,080.70","11,575","12,919.79"
Golaghat,118,"92,187","60,350.99","23,021","24,139.79"
Hailakandi,44,"26,759","21,912.83","6,346","8,854.69"
Hojai,54,"41,076","27,263.38","9,057","10,905.34"
Jorhat,135,"1,12,116","93,559.27","25,946","36,079.12"
Kamrup Metro,168,"1,73,391","1,26,523.03","39,173","46,417.68"
Karbi Anglong,64,"39,724","43,743.55","11,697","19,592.22"
Karimganj,87,"68,545","37,145.21","16,399","14,029.72"
Kokrajhar,51,"36,197","34,193.52","11,408","13,012.68"
Lakhimpur,88,"99,121","70,496.41","21,124","25,119.23"
Majuli,15,"5,031","5,736.49","1,365","3,671.97"
Morigaon,67,"51,041","34,655.50","11,465","14,490.52"
Nagaon,153,"1,63,280","1,11,968.01","32,264","42,061.45"
Nalbari,85,"77,890","50,784.92","15,171","18,763.69"
Sivasagar,96,"79,561","77,726.55","21,205","34,445.65"
Sonitpur,131,"99,722","83,788.56","20,370","31,962.45"
South Salmara,11,"1,269","1,889.74",192,709.52
Tinsukia,149,"79,065","82,065.42","23,060","30,715.61"
Udalguri,49,"30,549","26,343.56","5,937","9,210.29"
West Karbi Anglong,21,"7,396","7,893.87","1,346","2,698.72"
