District,Total Branch,KCCs for AH and Allied Activities No.,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mech No.,Farm Mech Amt,Poultry No.,Poultry Amt,fisheries no,fisheries Amt,Godown No.,Godown Amt,Clinic No.,Clinic Amt,Other No.,Other Amt,Total IC-Agri Disb No.,Total IC-Agri Disb Amt
Baksa,56,78,28.64,0,0.00,37,30.38,220,59.52,22,24.01,10,13.43,0,0.00,0,0.00,252,348.08,619,504.06
Barpeta,121,322,187.58,0,0.00,516,609.59,3480,1074.28,279,249.54,192,87.09,0,0.00,0,0.00,1643,2636.47,6432,4844.55
Biswanath,55,208,339.37,0,0.00,12,19.56,96,33.35,32,31.99,1,0,0,0.00,0,0.00,282,881.68,631,1305.95
Bongaigaon,57,37,27.34,0,0.00,566,442.07,1533,429.62,101,96.29,41,26.07,1,0.13,0,0.00,646,1055.42,2925,2076.94
Cachar,160,116,62.80,8,8.18,399,423.74,537,137.52,115,183.39,129,310.83,0,0.00,64,228.00,1410,1539.25,2778,2893.71
Charaideo,35,60,80.04,3,18.00,3,1.03,1,0,24,39.19,0,0,0,0.00,0,0.00,30,53.93,121,192.19
Chirang,35,51,16.27,1,0.00,5,16.08,0,0,10,12.34,118,34.00,1,2.00,0,0.00,135,205.52,321,286.21
Darrang,68,212,167.04,0,0.00,242,362.81,1139,362.82,60,49.44,86,243.17,0,0.00,2,17.00,641,2078.81,2382,3281.09
Dhemaji,45,235,70.16,0,0.00,29,15.26,1654,504.83,96,72.97,7,7.06,0,0.00,0,0.00,1011,1251.86,3032,1922.14
Dhubri,86,185,40.47,1,1.00,43,9.38,936,232.87,69,53.44,53,15.55,1,39.30,2,12.00,1025,1439.73,2315,1843.74
Dibrugarh,180,182,56.33,2,1.15,237,216.42,1834,394.07,182,173.29,34,29.07,0,0.00,6,93.60,1538,4798.42,4015,5762.35
Dima Hasao,29,38,22.52,1,0.12,1,1.27,0,0,41,39.40,5,1.53,0,0.00,0,0.00,32,44.23,118,109.07
Goalpara,67,167,7.95,1,2.00,141,54.88,985,200.37,135,58.65,1066,313.99,0,0.00,0,0.00,323,437.40,2818,1075.24
Golaghat,118,103,130.13,0,0.00,53,51.65,2238,627.68,45,74.79,6,2.90,0,0.00,4,24.00,1314,3775.57,3763,4686.72
Hailakandi,44,47,35.37,0,0.00,108,129.16,2,1.00,84,107.63,2,2.28,0,0.00,8,48.00,493,646.24,744,969.68
Hojai,54,103,72.72,0,0.00,104,130.61,491,115.72,51,45.08,11,8.73,1,0.50,2,12.00,558,783.23,1321,1168.59
Jorhat,135,100,46.58,4,3.70,267,208.39,855,298.66,46,65.78,9,7.60,0,0.00,7,35.60,895,3785.58,2183,4451.89
Kamrup Metro,168,226,174.91,8,2.82,2680,1250.11,4675,1265.53,360,447.34,247,132.35,0,0.00,4,18.39,2568,3497.62,10768,6789.07
Karbi Anglong,64,69,40.15,0,0.00,28,24.29,392,115.96,25,22.88,20,15.22,0,0.00,0,0.00,197,797.76,731,1016.26
Karimganj,87,35,59.66,0,0.00,41,49.14,99,36.48,21,25.91,35,83.00,0,0.00,2,12.00,294,542.09,527,808.28
Kokrajhar,51,139,27.30,0,0.00,195,153.25,143,27.41,106,86.20,39,327.22,0,0.00,2,6.82,382,705.81,1006,1334.01
Lakhimpur,88,133,104.31,6,5.05,109,113.43,2901,735.20,118,233.86,75,89.81,0,0.00,4,24.00,1218,1476.10,4564,2781.76
Majuli,15,27,12.61,0,0.00,0,0,0,0,2,1.30,2,3.00,0,0.00,0,0.00,8,5.54,39,22.45
Morigaon,67,332,196.84,0,0.00,323,632.55,888,415.61,50,50.98,93,123.85,0,0.00,1,6.00,656,1002.40,2343,2428.23
Nagaon,153,326,217.81,7,24.50,430,358.99,4596,1121.39,115,81.83,40,204.36,0,0.00,53,318.00,1256,1559.72,6823,3886.60
Nalbari,85,324,95.18,1,3.50,232,251.57,3652,915.16,241,147.89,18,11.52,0,0.00,0,0.00,792,1270.83,5260,2695.65
Sivasagar,96,205,118.45,0,0.00,408,222.30,1507,344.52,639,751.88,17,11.88,0,0.00,5,29.90,848,1349.44,3629,2828.37
Sonitpur,131,414,218.17,17,13.24,71,47.37,1597,409.54,260,185.94,17,13.03,0,0.00,2,6.00,731,1435.84,3109,2329.13
South Salmara,11,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0.00,4,0.46,4,0.46
Tinsukia,149,311,281.41,1,0.75,379,416.59,3507,857.90,130,318.47,9,13.19,0,0.00,5,273.90,852,6597.07,5194,8759.28
Udalguri,49,110,23.26,0,0.00,3,8.72,6,2.17,128,107.06,7,38.87,0,0.00,0,0.00,32,54.73,286,234.81
West Karbi Anglong,21,2,3.20,0,0.00,4,7.16,0,0,1,3.15,0,0,0,0.00,0,0.00,25,47.46,32,60.97
