District,Total Branch,Housing Loan (PS) O/S No.,Housing Loan (PS) O/S Amt,Housing Loan (NPS) O/S No.,Housing Loan (NPS) O/S Amt,Rural Housing Loan O/S No.,Rural Housing Loan O/S Amt,Housing Loan Eligible under PMAY O/S No.,Housing Loan Eligible under PMAY O/S Amt,Current Year Disbursed under PMAY No.,Current Year Disbursed under PMAY Amt,PMAY O/S No.,PMAY O/S Amt
Baksa,56,984,8865.58,517,2676.55,1398,9080.16,14,189.15,0,0,5,51.62
Barpeta,121,5361,29658.14,2430,16027.60,1047,6114.84,15,192.05,0,0,40,338.23
Biswanath,55,1374,10939.04,820,4439.30,667,3714.73,12,184.83,0,0,14,205.95
Bongaigaon,57,4432,16474.28,2159,19584.18,125,1260.46,49,498.24,0,0,56,611.36
Cachar,160,6481,27023.59,2647,20467.53,539,3899.75,102,1020.88,4,11.71,103,1110.09
Charaideo,35,2482,3324.28,304,1843.86,192,1266.27,1,10.13,0,0,1,10.16
Chirang,35,2624,6115.18,540,2429.47,489,3011.98,0,0,0,0,0,0
Darrang,68,1610,13627.81,1580,11366.86,446,3856.04,10,104.77,0,0,12,110.74
Dhemaji,45,1669,14827.70,1566,5877.30,1105,7116.26,11,102.78,1,0.5,21,190.99
Dhubri,86,7998,16592.07,1645,7668.45,667,3940.03,43,338.68,0,0,46,373.12
Dibrugarh,180,7061,40181.81,4789,42695.84,2345,14614.81,78,1001.62,0,0,97,1103.04
Dima Hasao,29,509,3374.58,158,1000.11,96,203.62,0,0,0,0,1,7.07
Goalpara,67,1064,10148.49,904,3748.98,407,2652.72,5,44.51,1,0.09,8,57.51
Golaghat,118,4392,18663.11,2417,14554.30,1072,9042.95,19,163.35,0,0,21,174.69
Hailakandi,44,3552,6831.27,674,3147.93,55,282.11,17,142.65,0,0,19,170.43
Hojai,54,923,7716.31,748,3449.47,76,471.43,14,131.91,0,0,17,164.32
Jorhat,135,6871,36840.27,5937,45767.45,1260,7738.48,33,418.41,19,47.91,71,854.02
Kamrup Metro,168,4461,33197.72,3785,44656.59,4325,31440.61,81,1069.22,0,0,81,1038.66
Karbi Anglong,64,4347,22374.50,809,5868.85,1047,10197.94,1,10.13,0,0,4,27.05
Karimganj,87,3366,6723.01,468,3744.77,470,3011.47,22,212.09,0,0,25,254.77
Kokrajhar,51,1058,10927.93,1022,10011.06,373,2250.26,3,23.44,0,0,4,35.13
Lakhimpur,88,5409,26934.19,2064,15307.17,1203,9278.40,50,532.84,0,0,48,536.71
Majuli,15,288,1907.67,103,273.02,207,1279.94,9,97.06,0,0,10,100.59
Morigaon,67,1667,11587.13,628,5730.46,703,3812.08,45,455.06,0,0,45,506.48
Nagaon,153,6163,33030.82,3056,20538.71,1030,6404.99,91,991.05,0,0,79,753.79
Nalbari,85,4884,22729.34,2622,17399.96,1080,7771.91,23,142.51,1,0.51,14,115.04
Sivasagar,96,5516,23053.31,2722,20462.09,119,932.53,20,315.36,1,0.65,31,503.42
Sonitpur,131,5715,30773.23,3934,36402.90,1463,9608.35,40,333.53,2,3.5,62,575.94
South Salmara,11,275,2787.59,246,162.09,4,8.20,0,0,0,0,0,0
Tinsukia,149,5704,24959.39,2795,29289.28,174,1494.59,50,472.67,0,0,62,522.62
Udalguri,49,1689,16399.79,1741,2141.08,687,4004.39,5,39.37,0,0,3,22.28
West Karbi Anglong,21,572,6053.41,87,158.68,453,4876.11,0,0,0,0,0,0
