district,Total Branch,Export Credit A/C,Export Credit Amt,Education (PS) A/C,Education (PS) Amt,Housing (PS) A/C,Housing (PS) Amt,Social Infrastructure A/C,Social Infrastructure Amt.,Renewable Energy A/C,Renewable Energy Amt,Informal Credit A/C,Informal Credit Amt,Total Other PS Disb No.,Total Other PS Disb Amt.,Loans to weaker No,Loans to weaker Amt
Baksa,56,0,0.00,31,38.32,99,612.89,0,0,29,88.82,"1,483",708.04,"1,642","1,448.07","7,655","10,864.48"
Barpeta,121,0,0.00,132,188.27,413,"2,361.33",3,55,87,127.31,"7,876","4,012.78","8,511","6,744.69","28,731","25,950.18"
Biswanath,55,0,0.00,42,66.90,64,428.45,0,0,51,100.91,"1,814","1,408.28","1,971","2,004.54","9,260","11,566.91"
Bongaigaon,57,0,0.00,39,69.48,233,"1,364.73",2,50.4,53,91.25,"4,300","2,256.19","4,627","3,832.05","12,630","14,150.18"
Cachar,160,0,0.00,311,379.41,"1,172","3,338.32",3,16.5,322,534.32,"13,873","7,720.67","15,681","11,989.22","25,765","21,405.37"
Charaideo,35,0,0.00,12,17.02,43,319.77,1,5,94,219.14,"1,234",743.82,"1,384","1,304.75","3,931","6,261.89"
Chirang,35,0,0.00,11,48.15,56,359.01,0,0,30,46.17,"2,634","1,510.96","2,731","1,964.29","6,469","9,915.75"
Darrang,68,0,0.00,92,186.26,222,"1,307.07",1,10,79,170.88,"3,907","2,270.19","4,301","3,944.40","14,180","16,471.39"
Dhemaji,45,0,0.00,55,93.93,124,931.04,3,47.73,62,156.52,"1,614","1,232.22","1,858","2,461.44","12,495","14,969.76"
Dhubri,86,0,0.00,45,68.88,302,"1,236.29",44,12.58,78,104.45,"7,396","3,752.34","7,865","5,174.54","16,863","18,516.74"
Dibrugarh,180,0,0.00,245,470.02,478,"3,051.93",1,10,199,221.54,"7,866","4,550.51","8,789","8,304.00","36,600","34,723.59"
Dima Hasao,29,0,0.00,12,22.62,31,193.68,0,0,340,"2,299.51",0,0,383,"2,515.81","2,067","4,158.88"
Goalpara,67,0,0.00,32,70.75,119,962.16,33,10.6,62,138.90,"4,501","2,251.85","4,747","3,434.26","13,263","16,127.41"
Golaghat,118,0,0.00,118,179.78,179,"1,360.61",1,4,270,510.50,"6,597","3,477.51","7,165","5,532.40","25,491","24,369.17"
Hailakandi,44,0,0.00,17,37.40,58,333.95,0,0,68,118.72,"4,221","2,147.59","4,364","2,637.66","7,346","6,791.64"
Hojai,54,0,0.00,37,63.70,71,544.02,0,0,47,68.59,"3,634","2,173.12","3,789","2,849.43","9,492","8,542.41"
Jorhat,135,0,0.00,256,457.99,472,"3,445.22",0,0,166,235.23,"5,622","2,990.86","6,516","7,129.30","21,024","19,782.38"
Kamrup Metro,168,0,0.00,466,807.73,"1,167","3,509.85",2,4.3,115,209.31,"10,373","5,797.24","12,123","10,328.43","35,074","32,237.53"
Karbi Anglong,64,0,0.00,30,40.04,94,720.84,0,0,811,"4,754.34","1,110",625.49,"2,045","6,140.71","14,060","18,450.84"
Karimganj,87,0,0.00,16,19.78,342,671.10,1,10,136,227.39,"11,688","6,041.73","12,183","6,970.00","15,639","12,537.87"
Kokrajhar,51,0,0.00,36,54.15,92,692.34,0,0,90,125.18,"6,172","2,878.74","6,390","3,750.41","12,989","13,755.26"
Lakhimpur,88,0,0.00,107,180.00,233,"1,789.91",3,23.69,90,204.52,"3,954","2,119.98","4,387","4,318.10","24,206","21,474.00"
Majuli,15,0,0.00,5,9.05,52,560.70,0,0,1,0.49,27,79.00,85,649.24,"1,101","2,295.73"
Morigaon,67,0,0.00,34,63.66,86,624.42,1,0,76,207.57,"3,225","1,848.27","3,422","2,743.92","12,330","12,263.78"
Nagaon,153,0,0.00,94,160.01,438,"2,838.93",2,5,254,600.10,"9,345","5,359.04","10,133","8,963.08","35,969","34,165.31"
Nalbari,85,0,0.00,97,134.03,278,"1,948.30",3,33,68,97.41,"3,208","1,790.03","3,654","4,002.77","15,687","13,796.57"
Sivasagar,96,0,0.00,88,148.95,284,"1,741.33",0,0,209,330.41,"5,274","2,899.87","5,855","5,120.56","17,817","16,315.09"
Sonitpur,131,0,0.00,144,236.40,489,"2,703.07",4,25,100,124.28,"7,230","4,892.61","7,967","7,981.36","20,734","22,724.30"
South Salmara,11,0,0.00,3,5.12,50,397.44,0,0,1,13.50,4,4.68,58,420.74,631,"1,793.02"
Tinsukia,149,0,0.00,157,356.99,275,"2,024.73",1,10,111,135.24,"5,379","3,064.39","5,923","5,591.35","26,014","26,029.32"
Udalguri,49,0,0.00,88,100.09,157,"1,089.37",0,0,43,74.16,"2,139","1,182.99","2,427","2,446.61","9,742","11,047.51"
West Karbi Anglong,21,0,0.00,3,6.72,18,135.95,0,0,222,"1,342.23",0,0,243,"1,484.90","2,546","3,579.41"
