District,Total Branch,No. of Operative CASA,No. of Aadhaar Seeded CASA,No. of Authenticated CASA
Baksa,56,909088,164665,91384
Barpeta,121,2517367,550576,405584
Biswanath,55,730442,110328,85480
Bongaigaon,57,811060,107574,130825
Cachar,160,2072370,310919,605840
Charaideo,35,453970,54576,56138
Chirang,35,670996,127385,94816
Darrang,68,1340447,222407,212378
Dhemaji,45,1036223,108808,165295
Dhubri,86,2132958,379721,470739
Dibrugarh,180,1730399,207834,329793
Dima Hasao,29,197326,32714,31144
Goalpara,67,1316351,268722,209204
Golaghat,118,1481680,275454,385978
Hailakandi,44,851381,151923,250397
Hojai,54,936531,150264,256253
Jorhat,135,1352099,178483,401183
Kamrup Metro,168,2051408,354224,257501
Karbi Anglong,64,676793,94486,57635
Karimganj,87,1360719,302456,404324
Kokrajhar,51,1005284,195410,153399
Lakhimpur,88,1329098,230116,287849
Majuli,15,187039,33836,38049
Morigaon,67,1322095,302802,525172
Nagaon,153,2923299,726279,845543
Nalbari,85,1096179,224579,130962
Sivasagar,96,1052318,191777,310478
Sonitpur,131,1548475,327471,320468
South Salmara,11,311801,67679,56724
Tinsukia,149,1444858,217793,432245
Udalguri,49,1087314,173808,114589
West Karbi Anglong,21,236168,31309,19498
