district,Total Branch,CY SANCTION A/C No.,CY SANCTION Amt.,CY DISBURSED A/C No.,CY DISBURSED Amt.,PMEGP O/S No.,PMEGP O/S Amt.,PMEGP NPA No.,PMEGP NPA Amt.,PMEGP NPA Amt. %
Baksa,56,11,32.50,29,54.40,"1,165","1,720.69",816,"1,132.90",6 5.84
Barpeta,121,294,"1,262.74",294,"1,040.69","1,825","3,589.22",830,"2,002.86",5 5.80
Biswanath,55,31,185.71,64,198.82,397,665.00,152,196.24,29.51
Bongaigaon,57,39,156.51,39,99.13,676,881.85,360,449.47,5 0.97
Cachar,160,106,593.12,120,529.19,"1,795","2,693.73",576,878.90,3 2.63
Charaideo,35,15,65.49,17,46.00,297,499.55,178,287.75,5 7.60
Chirang,35,31,86.51,32,69.64,"1,405","1,697.36","1,168","1,313.81",77.40
Darrang,68,35,133.24,42,84.85,889,"1,478.90",539,826.65,5 5.90
Dhemaji,45,133,559.87,169,486.92,971,"2,265.67",366,747.40,3 2.99
Dhubri,86,133,419.40,145,335.89,"1,891","2,761.66","1,086","1,780.69",6 4.48
Dibrugarh,180,176,935.30,206,667.63,"1,561","3,112.15",628,"1,035.90",3 3.29
Dima Hasao,29,42,139.00,34,100.17,259,493.95,50,149.76,3 0.32
Goalpara,67,38,145.10,43,102.97,"1,025","1,233.68",583,789.51,6 4.00
Golaghat,118,43,150.95,88,152.88,"1,207","1,750.73",505,771.58,4 4.07
Hailakandi,44,62,247.39,63,206.22,760,"1,272.31",342,477.25,3 7.51
Hojai,54,54,251.75,76,234.47,557,776.59,192,220.08,2 8.34
Jorhat,135,70,491.21,67,235.50,"1,013","1,507.68",389,544.68,3 6.13
KARIMGANJ,87,46,229.03,57,200.51,844,"1,455.69",288,440.70,3 0.27
Kamrup,168,184,617.68,217,559.55,"1,575","2,428.04",852,"1,136.98",46.83
Kamrup Metro,414,118,889.26,117,660.11,"1,066","2,228.55",399,666.04,2 9.89
Karbi Anglong,64,48,140.78,35,102.07,409,514.09,184,177.04,3 4.44
Kokrajhar,51,49,154.25,55,143.62,"1,719","2,192.57","1,407","1,685.19",76.86
Lakhimpur,88,73,423.34,114,407.75,"1,282","2,914.97",526,"1,254.37",43.03
Majuli,15,16,67.39,18,39.54,193,249.66,68,132.41,5 3.04
Morigaon,67,37,156.19,45,134.79,833,"1,337.11",470,722.53,5 4.04
Nagaon,153,132,705.16,139,591.80,"1,749","3,174.08",762,"1,128.86",3 5.56
Nalbari,85,38,162.92,42,125.80,"1,112","2,040.52",665,"1,119.72",5 4.87
Sivasagar,96,120,722.28,147,661.67,940,"2,214.90",323,590.47,2 6.66
Sonitpur,131,101,536.47,106,455.90,"1,247","2,395.45",517,871.84,36.40
South Salmara,11,5,16.29,5,16.29,479,608.26,411,500.90,8 2.35
Tinsukia,149,156,780.93,139,529.46,"1,339","2,513.95",552,884.14,35.17
Udalguri,49,18,62.83,11,21.95,"1,698","2,688.59","1,444","2,264.99",84.24
West Karbi Anglong,21,2,2.09,1,0,10,8.96,8,10.04,1 12.05
