district,Total Branch,BHIM/UPI A/c,BHIM/UPI Amt.,BHIM Aadhaar A/C,BHIM Aadhaar Amt.,Bharat QR Code A/C,Bharat QR Code Amt.,IMPS A/C,IMPS Amt.,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt.,USSD A/C,USSD Amt.
Baksa,56,"11,65,716","49,537.47","67,87,672","1,02,454.86","3,020",441.36,"53,91,809","19,94,859.04","2,57,523","32,176.59","1,94,314","3,883.63"
Barpeta,121,"88,54,415","3,09,106.98","2,05,87,146","4,11,512.98","4,816",817.82,"2,02,95,967","78,85,373.80","6,90,734","10,16,601.57","5,37,449","11,638.65"
Biswanath,55,"26,24,128","61,769.67","58,14,959","91,474.79","1,728",431.34,"64,46,416","19,63,276.22","4,95,543","97,075.07","1,91,707","4,142.94"
Bongaigaon,57,"28,93,310","7,57,51,673.74","70,73,398","1,39,450.27","3,713",697.44,"1,05,09,409","2,98,73,512.49","4,49,857","5,69,96,734.75","3,58,637","7,803.26"
Cachar,160,"67,95,425","2,07,583.17","1,63,39,901","2,80,799.26","8,417","1,648.48","2,91,50,012","85,23,468.94","10,62,331","5,15,900.62","6,77,091","15,048.49"
Charaideo,35,"8,13,452","22,515.97","36,68,627","56,643.34",766,253.64,"10,90,821","7,11,273.72","1,55,268","20,645.56","1,62,797","3,228.76"
Chirang,35,"7,48,724","35,251.70","45,89,149","80,556.85","1,125",210.11,"6,13,710","4,87,444.44","1,48,989","39,825.04","2,76,856","5,672.03"
Darrang,68,"48,12,460","1,64,364.74","86,79,382","1,54,586.39","3,073",572.83,"1,49,69,123","75,64,759.01","4,70,169","2,49,502.80","2,40,936","5,059.00"
Dhemaji,45,"23,06,222","64,219.13","91,11,160","1,34,060.37","1,985",389.58,"47,29,362","18,81,035.45","3,11,103","1,16,624.96","2,34,541","4,828.46"
Dhubri,86,"35,50,839","1,49,239.04","1,25,03,861","2,59,592.48","2,734",427.68,"95,03,556","44,37,765.81","5,03,415","1,90,600.03","2,58,657","7,087.00"
Dibrugarh,180,"90,55,992","2,89,614.50","1,73,79,333","2,75,390.27","9,503","2,027.34","4,94,26,172","1,31,55,633.29","20,58,053","2,98,702.92","13,17,801","24,501.21"
Dima Hasao,29,"4,71,160","15,487.55","30,11,349","57,831.72",812,129.05,"43,121","3,08,467.17","1,09,683","20,406.05","1,11,297","2,825.62"
Goalpara,67,"29,45,227","1,42,230.04","75,05,101","1,71,308.37","2,979",940.98,"1,11,80,053","52,89,739.62","3,29,305","4,54,614.73","2,01,310","4,839.23"
Golaghat,118,"61,00,957","6,24,10,071.16","1,10,11,721","1,63,673.39","3,104",851.98,"3,11,20,396","4,28,84,455.65","11,06,677","4,67,53,055.77","5,35,237","11,327.47"
Hailakandi,44,"26,60,442","71,876.92","61,52,652","89,111.20","1,096",213.01,"25,87,554","10,36,799.63","1,86,756","66,652.84","92,438","2,139.62"
Hojai,54,"34,03,178","1,21,692.68","97,34,765","1,88,002.92","5,558","1,291.76","1,82,83,664","62,01,795.52","3,47,261","1,24,997.95","1,80,370","4,400.03"
Jorhat,135,"67,08,679","5,00,55,587.03","1,25,01,087","1,83,226.76","7,578","1,562.89","4,42,31,898","2,68,68,432.46","12,41,609","3,62,56,035.01","10,78,155","19,984.26"
Kamrup Metro,168,"91,94,361","36,00,60,806.76","1,46,65,458","2,61,048.22","5,600","1,250.08","2,64,96,218","23,55,16,407.53","12,40,109","23,32,24,520.07","7,25,760","14,653.38"
Karbi Anglong,64,"16,78,436","51,109.40","76,11,156","1,31,033.01","1,469",317.54,"73,81,336","21,20,633.91","3,51,774","88,437.91","2,91,769","6,437.78"
Karimganj,87,"44,37,311","1,62,491.29","97,40,736","1,88,377.16","3,419",548.26,"1,80,56,016","2,32,17,126.02","4,05,892","1,16,571.99","1,98,571","5,155.60"
Kokrajhar,51,"12,78,092","58,479.42","71,50,863","1,22,658.69","1,869",289.25,"61,46,785","23,86,125.39","2,31,991","1,04,567.91","3,61,846","7,674.66"
Lakhimpur,88,"37,29,551","96,614.88","1,23,67,161","1,93,988.88","2,511",556.30,"1,07,58,625","40,12,672.80","5,86,045","2,10,385.77","3,49,826","7,090.46"
Majuli,15,"1,80,112","8,171.03","15,42,841","18,222.81",834,162.74,"78,783","2,92,012.90","54,360","12,223.79","31,812",593.12
Morigaon,67,"47,02,635","1,46,643.21","46,22,758","90,913.67","2,899",583.49,"94,96,860","48,73,223.26","3,96,568","2,27,334.08","1,63,494","3,562.35"
Nagaon,153,"73,06,410","2,51,79,302.55","1,65,58,461","3,18,628.58","4,268","1,238.69","1,88,14,982","1,39,48,236.14","8,87,388","76,83,994.46","6,25,207","13,717.27"
Nalbari,85,"25,98,529","78,328.26","73,67,292","1,28,592.32","2,316",521.13,"89,44,394","32,13,713.10","4,19,120","11,67,862.90","4,04,348","7,553.85"
Sivasagar,96,"47,98,394","4,77,99,304.94","1,04,41,432","1,65,527.30","4,095","1,124.52","1,94,48,577","2,41,36,379.05","9,19,291","3,79,02,761.36","8,44,176","16,606.82"
Sonitpur,131,"59,29,178","1,60,092.85","1,60,92,838","2,52,842.70","5,757","1,220.57","2,05,02,835","63,11,970.44","10,65,353","14,95,393.36","10,29,488","17,807.81"
South Salmara,11,"20,353","16,029.76","16,45,835","44,678.55",753,71.11,"39,967","4,48,323.33","13,853",990.70,"16,662",566.20
Tinsukia,149,"67,33,100","1,78,554.97","1,19,58,264","1,89,379.05","7,258","1,828.11","5,77,64,026","1,65,28,313.74","11,84,021","3,00,781.24","6,19,059","11,570.35"
Udalguri,49,"7,33,519","37,354.05","83,32,943","1,15,995.06","1,350",177.04,"26,30,829","11,84,421.58","1,46,143","1,00,464.64","1,89,237","3,812.08"
West Karbi Anglong,21,"3,71,502","6,442.51","27,25,648","40,205.62",0,0,"25,507","2,325.28","54,722","14,410.51","53,014","1,255.35"
