District,Total Branch,Sishu O/S No.,Sishu O/S Amt,Sishu NPA No.,Sishu NPA Amt,Kishore O/S No.,Kishore O/S Amt,Kishore NPA No.,Kishore NPA Amt,Tarun O/S No.,Tarun O/S Amt,Tarun NPA No.,Tarun NPA Amt,Total MUDRA O/S No.,Total MUDRA O/S Amt,Total MUDRA NPA No.,Total MUDRA NPA Amt,MUDRA NPA Amt.%
Baksa,56,"6,586","1,389.74","1,713",356.78,"5,373","5,849.45",908,"1,214.67",218,"1,095.61",25,127.88,"12,177","8,334.80","2,646","1,699.33",20.39
Barpeta,121,"32,459","6,747.69","5,643","1,354.86","32,947","28,326.06","8,962","7,451.55","1,874","8,888.48",140,709.98,"67,280","43,962.23","14,745","9,516.39",21.65
Biswanath,55,"6,581","1,260.46","1,679",388.32,"9,423","7,517.70","1,713","1,300.85",442,"2,041.33",19,97.87,"16,446","10,819.49","3,411","1,787.04",16.52
Bongaigaon,57,"13,346","2,302.14","3,504",534.98,"10,504","8,362.82","2,068","1,533.08","1,221","5,043.46",39,200.60,"25,071","15,708.42","5,611","2,268.66",14.44
Cachar,160,"46,136","8,938.91","9,980","2,218.23","64,489","42,695.72","16,480","11,222.05","1,771","8,929.05",121,842.86,"1,12,396","60,563.68","26,581","14,283.14",23.58
Charaideo,35,"5,491","1,053.88","1,558",379.55,"4,166","3,720.15",509,617.99,246,"1,713.23",15,91.11,"9,903","6,487.26","2,082","1,088.65",16.78
Chirang,35,"6,464","1,287.94","1,151",255.78,"7,456","5,946.42","1,873","1,771.40",159,881.27,23,124.33,"14,079","8,115.63","3,047","2,151.51",26.51
Darrang,68,"17,385","3,385.92","3,948",906.06,"16,742","13,797.54","4,589","3,743.50","1,017","5,141.60",144,799.16,"35,144","22,325.06","8,681","5,448.72",24.41
Dhemaji,45,"8,324","1,695.71","2,299",737.35,"7,214","7,321.79","1,496","1,693.58",555,"3,100.87",65,416.82,"16,093","12,118.37","3,860","2,847.75",23.50
Dhubri,86,"23,935","4,628.59","5,896","1,486.76","28,683","21,241.36","10,727","8,525.23",689,"3,339.46",98,398.34,"53,307","29,209.41","16,721","10,410.33",35.64
Dibrugarh,180,"38,816","7,059.46","8,378","1,790.08","27,911","24,144.94","3,654","3,920.17","2,386","13,487.51",276,"1,674.04","69,113","44,691.91","12,308","7,384.29",16.52
Dima Hasao,29,"1,140",166.63,264,49.23,838,"1,263.98",100,137.21,142,792.81,8,66.29,"2,120","2,223.42",372,252.73,11.37
Goalpara,67,"15,561","3,026.55","4,877",960.92,"16,057","11,981.28","4,392","3,245.85",531,"2,648.72",42,382.28,"32,149","17,656.55","9,311","4,589.05",25.99
Golaghat,118,"23,893","4,632.68","4,136","1,024.44","25,350","19,349.90","2,824","2,790.82",996,"4,812.64",99,526.76,"50,239","28,795.22","7,059","4,342.02",15.08
Hailakandi,44,"7,936","1,612.33","1,549",355.20,"13,686","10,885.77","3,309","2,703.18",442,"2,079.27",30,157.02,"22,064","14,577.37","4,888","3,215.40",22.06
Hojai,54,"8,686","1,793.54","1,925",608.60,"16,072","14,780.75","2,969","3,764.12",991,"6,624.39",109,759.96,"25,749","23,198.68","5,003","5,132.68",22.12
Jorhat,135,"30,029","5,419.12","6,070","1,256.40","20,594","17,816.77","2,588","2,568.89","1,296","6,558.18",290,677.74,"51,919","29,794.07","8,948","4,503.03",15.11
Kamrup Metro,168,"50,419","9,164.35","10,171","1,965.95","50,199","35,485.37","11,564","8,665.78","1,684","7,760.17",179,945.72,"1,02,302","52,409.89","21,914","11,577.45",22.09
Karbi Anglong,64,"4,074",736.80,698,115.53,"3,238","3,947.48",270,380.38,382,"2,006.15",25,130.09,"7,694","6,690.43",993,626.00,9.36
Karimganj,87,"24,002","4,833.45","5,568","1,266.92","32,575","22,826.04","8,398","6,997.89",846,"4,370.20",72,708.62,"57,423","32,029.69","14,038","8,973.43",28.02
Kokrajhar,51,"13,007","2,611.95","1,583",352.63,"9,348","7,322.13","2,315","2,025.93",281,"1,688.63",27,166.15,"22,636","11,622.71","3,925","2,544.71",21.89
Lakhimpur,88,"15,965","3,796.44","4,078","1,413.05","18,710","16,401.27","4,039","4,089.00",985,"4,831.17",150,822.76,"35,660","25,028.88","8,267","6,324.81",25.27
Majuli,15,"1,805",388.28,488,130.82,630,979.45,127,201.50,214,"1,326.27",13,70.23,"2,649","2,694.00",628,402.55,14.94
Morigaon,67,"8,296","1,925.72","1,871",612.36,"17,172","14,549.49","3,188","3,471.38",745,"4,574.73",146,"1,107.11","26,213","21,049.94","5,205","5,190.85",24.66
Nagaon,153,"33,061","6,512.24","6,342","1,852.25","45,047","34,316.98","10,655","8,603.04","1,918","9,904.88",397,"2,169.86","80,026","50,734.10","17,394","12,625.15",24.88
Nalbari,85,"19,213","3,627.15","4,160",918.61,"14,063","11,649.54","2,688","2,307.96",587,"3,107.86",55,331.28,"33,863","18,384.55","6,903","3,557.85",19.35
Sivasagar,96,"18,158","3,463.97","2,860",665.78,"17,781","14,959.86","1,963","1,685.04","1,142","5,659.24",61,329.54,"37,081","24,083.07","4,884","2,680.36",11.13
Sonitpur,131,"27,170","5,100.21","5,554","1,216.37","31,630","23,765.94","6,064","4,479.18","1,737","9,451.95",147,941.56,"60,537","38,318.10","11,765","6,637.11",17.32
South Salmara,11,227,50.57,102,22.74,846,"1,144.36",356,423.77,82,439.60,8,48.52,"1,155","1,634.53",466,495.03,30.29
Tinsukia,149,"19,386","3,676.92","4,530",967.49,"21,352","20,435.11","2,742","2,998.64","1,961","11,777.34",145,"1,053.10","42,699","35,889.37","7,417","5,019.23",13.99
Udalguri,49,"5,188","1,191.25","1,190",329.02,"4,969","5,364.03","1,734","2,075.33",210,"1,186.01",20,87.53,"10,367","7,741.29","2,944","2,491.88",32.19
West Karbi Anglong,21,347,45.17,135,9.23,220,329.37,27,33.83,54,179.31,3,17.90,621,553.85,165,60.96,11.01
