district,Total Branch,Sanctioned No,of which girl student Sanctioned No,Sanctioned Amt,of which girl student Sanctioned Amt,Disb. Number,of which girl student Disb No,Disb. Amt,of which girl student Disb Amt,OS No,of which girl student OS No,OS amt,of which girl student OS Amt
Baksa,56,22,16,43.56,26.08,33,22,38.79,21.30,78,39,202.33,111.84
Barpeta,121,63,36,168.51,101.07,145,63,153.35,78.39,435,167,"1,421.60",470.95
Biswanath,55,13,5,28.94,8.38,36,15,48.22,25.70,133,55,383.44,197.08
Bongaigaon,57,30,13,80.28,32.95,54,22,95.91,46.20,172,56,761.63,320.44
Cachar,160,168,36,347.96,127.08,317,64,409.83,117.05,"1,074",219,"3,004.05",625.49
Charaideo,35,7,4,17.67,18.24,12,7,18.34,12.68,72,26,220.12,93.14
Chirang,35,8,3,34.82,7.46,11,5,48.15,20.58,64,13,247.12,49.42
Darrang,68,40,19,147.00,40.59,140,41,180.64,64.65,338,148,"1,166.20",485.75
Dhemaji,45,17,9,64.96,23.39,51,28,86.57,53.03,150,62,434.76,202.05
Dhubri,86,20,10,79.74,32.76,57,18,115.88,38.27,199,52,713.75,197.99
Dibrugarh,180,139,82,567.33,328.75,289,151,562.25,321.66,936,400,"3,352.99","1,419.58"
Dima Hasao,29,8,5,18.86,9.47,17,6,27.94,9.67,46,16,125.16,34.38
Goalpara,67,51,23,177.68,53.89,126,50,291.46,102.53,330,130,"1,301.96",496.72
Golaghat,118,60,30,143.21,44.78,135,59,207.50,73.64,360,145,"1,215.48",503.21
Hailakandi,44,10,3,31.34,17.02,22,9,36.78,20.48,91,23,240.54,89.10
Hojai,54,11,7,21.37,16.76,36,17,58.20,29.06,151,47,478.32,147.02
Jorhat,135,139,73,516.48,264.19,267,128,503.53,246.82,837,361,"3,331.97","1,382.61"
Kamrup Metro,168,185,73,599.56,262.05,436,153,707.07,268.32,"1,059",329,"3,713.36","1,153.48"
Karbi Anglong,64,18,9,37.03,8.88,36,19,46.80,22.13,132,51,324.43,122.63
Karimganj,87,8,0,40.74,0,21,6,39.23,4.94,126,35,351.87,88.47
Kokrajhar,51,24,13,38.87,21.63,40,15,55.36,15.26,109,35,321.38,84.08
Lakhimpur,88,50,21,159.88,76.51,108,49,225.40,127.68,337,129,"1,008.89",382.01
Majuli,15,3,2,10.36,7.86,6,4,9.06,3.53,43,9,111.49,20.47
Morigaon,67,20,6,42.96,9.12,35,10,50.01,7.39,122,41,367.37,118.76
Nagaon,153,49,20,193.20,106.81,97,32,147.24,66.73,349,113,"1,208.59",403.26
Nalbari,85,42,17,141.93,33.43,100,39,145.44,50.06,315,98,"1,115.54",358.15
Sivasagar,96,45,23,200.18,105.55,91,41,132.09,59.50,286,116,882.47,336.50
Sonitpur,131,71,30,302.19,159.33,173,71,360.23,142.71,492,184,"1,822.44",679.26
South Salmara,11,2,1,4.57,2.53,2,1,4.50,2.50,14,2,48.31,4.54
Tinsukia,149,75,35,431.54,131.36,183,81,436.02,170.14,615,219,"2,215.95",725.69
Udalguri,49,42,33,61.73,42.33,95,58,92.21,60.88,272,176,731.39,447.14
West Karbi Anglong,21,1,0,5.11,0,2,0,6.04,0,17,4,61.10,17.02
