District,Total Branch,Sishu No.,Sishu amt,Kishore no,Kishore Amt,Tarun No.,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt
Baksa,56,1816,557.49,1623,2414.91,70,463.11,3509,3435.51
Barpeta,121,7718,2500.61,8129,11043.79,599,4124.18,16446,17668.58
Biswanath,55,1382,485.35,2462,3138.39,242,1635.93,4086,5259.67
Bongaigaon,57,2783,912.91,3188,4133.77,269,1895.54,6240,6942.22
Cachar,160,11026,3903.87,11135,13994.09,873,5771.24,23034,23669.20
Charaideo,35,1238,424.78,1526,2011.57,148,1069.70,2912,3506.05
Chirang,35,1895,675.90,1823,2227.10,59,410.14,3777,3313.14
Darrang,68,3258,1181.25,4921,6370.07,385,2779.73,8564,10331.05
Dhemaji,45,1485,509.58,2128,2802.29,181,1200.43,3794,4512.30
Dhubri,86,5955,2131.13,5375,6994.31,228,1633.86,11558,10759.30
Dibrugarh,180,10988,3328.60,8946,11037.34,787,5536.29,20721,19902.23
Dima Hasao,29,388,72.81,336,640.62,63,447.43,787,1160.86
Goalpara,67,3786,1287.45,3301,4293.15,203,1378.26,7290,6958.86
Golaghat,118,6693,2270.22,7312,8888.31,612,4041.36,14617,15199.89
Hailakandi,44,2923,971.78,3319,3792.29,223,1483.28,6465,6247.35
Hojai,54,2380,851.72,4056,5376.23,677,4699.79,7113,10927.74
Jorhat,135,8064,2568.17,6728,9350.56,600,4105.03,15392,16023.76
Kamrup Metro,168,9972,3471.17,11806,14121.97,668,4489.29,22446,22082.43
Karbi Anglong,64,1444,499.43,1596,2429.24,128,944.04,3168,3872.71
Karimganj,87,8698,2852.06,7551,8027.96,307,2232.85,16556,13112.87
Kokrajhar,51,5882,2084.18,2665,3202.01,153,1108.91,8700,6395.10
Lakhimpur,88,3968,1240.40,5121,6471.95,417,2929.49,9506,10641.84
Majuli,15,52,20.62,219,372.07,245,1596.29,516,1988.98
Morigaon,67,2767,984.57,4265,5281.76,279,1951.35,7311,8217.68
Nagaon,153,6535,2257.39,10698,13466.76,748,5173.87,17981,20898.02
Nalbari,85,2873,1002.14,3913,4750.04,200,1460.23,6986,7212.41
Sivasagar,96,5450,1850.96,6501,8689.18,567,3778.71,12518,14318.85
Sonitpur,131,5257,1876.39,8656,10660.61,682,4923.59,14595,17460.59
South Salmara,11,31,12.10,96,278.21,29,217.71,156,508.02
Tinsukia,149,5284,1692.92,6589,9414.03,750,5588.97,12623,16695.92
Udalguri,49,1967,669.76,1404,1864.87,87,699.52,3458,3234.15
West Karbi Anglong,21,100,27.84,124,228.51,3,22.94,227,279.29
