district,Total Branch,Farm Credit Crop No,Farm Credit Crop Amt,Farm Credit Term Loan No,Farm Credit Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillary No,Ancillary Amt,Agri Total O/S No.,Agri Total O/S Amount
Baksa,56,"19,161","14,126.14","15,655","11,471.35",33,32.94,"4,469","3,192.37","39,318","28,822.80"
Barpeta,121,"50,462","38,009.66","49,210","24,975.77",220,"1,221.71","8,222","7,905.45","1,08,114","72,112.59"
Biswanath,55,"24,656","17,407.44","14,096","12,078.61",111,581.19,"4,716","3,245.15","43,579","33,312.39"
Bongaigaon,57,"13,560","12,729.38","13,994","9,961.19",103,119.39,"2,353","3,425.45","30,010","26,235.41"
Cachar,160,"49,113","35,444.91","24,098","14,072.69",655,"1,148.57","8,542","20,242.45","82,408","70,908.62"
Charaideo,35,"11,047","7,417.77","6,242","5,823.13",83,130.43,"2,485","1,492.91","19,857","14,864.24"
Chirang,35,"19,067","14,441.79","7,302","6,672.25",54,56.84,"2,304","3,823.08","28,727","24,993.96"
Darrang,68,"31,559","22,287.91","29,632","15,245.34",203,216.93,"5,206","5,172.79","66,600","42,922.97"
Dhemaji,45,"24,852","17,859.19","16,465","12,499.79",163,315.69,"5,394","2,947.98","46,874","33,622.65"
Dhubri,86,"32,129","21,653.15","18,065","12,173.67",669,355.24,"3,958","3,471.77","54,821","37,653.83"
Dibrugarh,180,"65,316","49,435.14","37,856","20,210.23",525,"1,105.74","12,274","27,088.50","1,15,971","97,839.61"
Dima Hasao,29,"1,786",742.17,"1,444","1,639.41",13,17.07,191,290.54,"3,434","2,689.19"
Goalpara,67,"27,227","15,851.15","15,980","10,658.75",105,152.91,"6,930","5,278.98","50,242","31,941.79"
Golaghat,118,"51,250","32,573.27","37,008","22,869.07",481,613.68,"9,216","14,089.23","97,955","70,145.25"
Hailakandi,44,"18,350","11,504.33","5,300","4,522.77",197,315.62,"1,901","2,623.06","25,748","18,965.78"
Hojai,54,"21,213","13,312.06","7,675","5,118.29",581,351.92,"5,048","3,602.56","34,517","22,384.83"
Jorhat,135,"41,678","24,852.12","35,466","21,311.30",446,536.36,"7,315","18,817.93","84,905","65,517.71"
Kamrup Metro,168,"66,205","43,883.81","51,794","25,485.69",326,420.86,"16,112","14,076.32","1,34,437","83,866.68"
Karbi Anglong,64,"34,519","17,419.37","13,367","12,424.63",20,30.63,"2,349",744.42,"50,255","30,619.05"
Karimganj,87,"26,102","18,586.68","13,416","8,433.11",439,820.30,"4,960","6,995.79","44,917","34,835.88"
Kokrajhar,51,"25,616","22,309.05","6,526","5,579.59",331,92.71,"2,223","5,508.06","34,696","33,489.41"
Lakhimpur,88,"55,925","40,136.48","37,826","19,069.19",355,507.87,"11,110","6,749.59","1,05,216","66,463.13"
Majuli,15,"5,136","3,081.81","2,998","3,057.44",27,29.07,306,358.85,"8,467","6,527.17"
Morigaon,67,"38,386","27,797.67","21,173","12,926.76",474,670.53,"7,922","7,042.70","67,955","48,437.66"
Nagaon,153,"78,467","52,424.30","73,738","34,622.87",888,"1,145.08","15,086","18,694.05","1,68,179","1,06,886.30"
Nalbari,85,"29,460","18,558.11","41,834","19,137.51",99,148.92,"4,965","6,520.30","76,358","44,364.84"
Sivasagar,96,"25,299","17,116.17","30,942","14,610.39",197,450.41,"9,358","6,714.63","65,796","38,891.60"
Sonitpur,131,"29,908","23,872.13","38,933","24,454.85",253,316.06,"11,045","8,431.03","80,139","57,074.07"
South Salmara,11,"2,515","1,137.43",843,"1,119.26",0,0,2,16.45,"3,360","2,273.14"
Tinsukia,149,"47,420","41,221.39","29,295","16,441.14",471,"1,769.62","7,823","25,381.33","85,009","84,813.48"
Udalguri,49,"33,829","22,377.99","15,411","11,300.95",19,20.21,"3,150","1,517.86","52,409","35,217.01"
West Karbi Anglong,21,"10,925","4,719.83","3,816","3,347.38",1,0,156,32.20,"14,898","8,099.41"
