District,Total Branch,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt
Baksa,56,0,0.00,10,20.99,156,572.85,0,0.00,45,11.15,"1,546",487.35,"1,757","1,092.34"
Barpeta,121,0,0.00,34,90.68,165,615.39,0,0.00,483,226.04,"7,655","3,048.63","8,337","3,980.74"
Biswanath,55,0,0.00,17,33.14,53,144.90,0,0.00,0,0.00,"3,755","1,398.41","3,825","1,576.45"
Bongaigaon,57,0,0.00,7,18.95,45,247.62,0,0.00,105,50.87,"4,222","1,514.44","4,379","1,831.88"
Cachar,160,0,0.00,66,182.53,138,627.79,0,0.00,15,4.23,"14,784","6,009.65","15,003","6,824.20"
Charaideo,35,0,0.00,8,35.09,11,55.94,0,0.00,53,21.23,935,490.36,"1,007",602.62
Chirang,35,0,0.00,13,33.50,19,23.98,0,0.00,133,49.74,"1,707",432.82,"1,872",540.04
Darrang,68,0,0.00,20,37.36,112,349.44,0,0.00,47,21.51,"5,155","2,176.72","5,334","2,585.03"
Dhemaji,45,0,0.00,13,39.51,38,211.85,0,0.00,21,5.46,"1,192",402.42,"1,264",659.24
Dhubri,86,0,0.00,20,61.07,78,303.41,2,9.68,259,149.85,"8,279","3,945.73","8,638","4,469.74"
Dibrugarh,180,0,0.00,62,182.70,138,"1,188.32",0,0.00,16,5.31,"6,511","2,210.20","6,727","3,586.53"
Dima Hasao,29,0,0.00,0,0,11,24.26,0,0.00,0,0.00,17,16.39,28,40.65
Goalpara,67,0,0.00,13,43.86,57,180.19,1,0.06,449,288.62,"5,011","1,607.51","5,531","2,120.24"
Golaghat,118,0,0.00,22,39.07,64,263.45,0,0.00,3,0.69,"4,757","1,576.07","4,846","1,879.28"
Hailakandi,44,0,0.00,10,17.38,57,287.83,0,0.00,23,12.70,"2,730","1,224.97","2,820","1,542.88"
Hojai,54,0,0.00,14,67.03,25,170.64,1,1.19,0,0.00,"2,723","2,860.76","2,763","3,099.62"
Jorhat,135,0,0.00,45,148.34,153,660.70,0,0.00,0,0.00,"7,553","2,238.52","7,751","3,047.56"
Kamrup Metro,168,0,0.00,55,137.33,253,632.79,2,10.41,15,6.85,"21,604","5,821.12","21,929","6,608.50"
Karbi Anglong,64,0,0.00,19,44.18,40,113.73,0,0.00,0,0.00,807,231.54,866,389.45
Karimganj,87,0,0.00,6,10.63,61,229.05,2,4.47,14,2.66,"7,277","3,300.85","7,360","3,547.66"
Kokrajhar,51,0,0.00,7,15.31,28,171.36,0,0.00,1,0.92,"2,987",953.97,"3,023","1,141.56"
Lakhimpur,88,0,0.00,23,47.67,137,532.77,1,0.00,88,38.66,"4,228","2,742.55","4,477","3,361.65"
Majuli,15,0,0.00,3,4.72,34,106.00,0,0.00,0,0.00,605,834.70,642,945.42
Morigaon,67,0,0.00,14,29.63,180,841.81,0,0.00,24,9.46,"2,185","2,598.52","2,403","3,479.42"
Nagaon,153,0,0.00,38,109.61,246,"1,164.03",0,0.00,2,1.68,"11,097","5,259.00","11,383","6,534.32"
Nalbari,85,0,0.00,44,105.19,285,764.89,0,0.00,8,2.27,"7,796","2,624.60","8,133","3,496.95"
Sivasagar,96,0,0.00,20,53.74,74,391.70,0,0.00,15,6.20,"3,105","1,349.37","3,214","1,801.01"
Sonitpur,131,0,0.00,50,97.88,187,551.39,0,0.00,2,1.06,"8,768","4,559.02","9,007","5,209.35"
South Salmara,11,0,0.00,9,31.60,14,36.18,0,0.00,7,5.00,202,228.08,232,300.86
Tinsukia,149,0,0.00,32,101.00,100,583.43,1,0.00,15,4.17,"3,955","1,674.72","4,103","2,363.32"
Udalguri,49,0,0.00,21,64.33,35,121.74,0,0.00,1,0.28,"3,484","1,550.53","3,541","1,736.88"
West Karbi Anglong,21,0,0.00,2,3.31,15,30.69,0,0.00,7,0.51,5,3.70,29,38.21
