District,Total Branch,Agriculture (NPS) No.,Agriculture (NPS) Amt,MSME (NPS) No.,MSME (NPS) Amt,Exp Credit (NPS) A/C,Exp Credit (NPS) Amt,Education (NPS) A/C,Education (NPS) Amt,Housing (NPS) A/C,Housing (NPS) Amt,Personal Loans under NPS A/C,Personal Loans under NPS Amt,Others NPS A/C,Others NPS Amt,Total ACP (NPS) Disb No.,Total ACP (NPS) Disb Amt
Baksa,56,0,0,0,0,0,0,0,9.4,89,849.14,721,"1,852.70","3,291","16,193.11","4,101","18,904.35"
Barpeta,121,1,295.00,0,0,0,0,0,0,307,"3,745.24","2,583","7,852.76","15,682","65,690.57","18,573","77,583.57"
Biswanath,55,9,4.23,0,0,0,0,0,0,124,"1,153.89",687,"2,057.13","3,864","13,925.83","4,684","17,141.08"
Bongaigaon,57,0,0,0,0,0,0,1,22.96,482,"5,253.34","1,676","5,666.48","10,267","46,109.90","12,426","57,052.68"
Cachar,160,90,167.53,1,82.35,0,0,2,58.75,406,"5,235.78","3,583","10,684.04","26,887","94,470.51","30,969","1,10,698.96"
Charaideo,35,0,0,0,0,0,0,0,0,56,582.52,334,831.54,"2,459","12,295.17","2,849","13,709.23"
Chirang,35,4,2.00,0,0,0,0,0,0,112,910.13,502,"1,197.76","2,722","15,904.65","3,340","18,014.54"
Darrang,68,0,0,0,0,0,0,0,0,320,"3,555.16","1,473","4,341.67","7,881","32,974.94","9,674","40,871.77"
Dhemaji,45,7,2.04,0,0,0,0,1,12.94,238,"2,101.24","1,354","5,086.86","7,140","29,190.99","8,740","36,394.07"
Dhubri,86,8,2.39,0,0,0,0,0,0,262,"1,919.38","1,320","3,519.74","10,190","40,278.18","11,780","45,719.69"
Dibrugarh,180,18,407.49,2,162.87,0,0,8,170.6,725,"9,737.07","5,538","23,349.02","28,944","1,14,252.99","35,235","1,48,080.04"
Dima Hasao,29,0,0,0,0,0,0,0,0,33,457.55,535,"1,200.50","1,999","10,244.34","2,567","11,902.39"
Goalpara,67,11,6.73,0,0,0,0,0,0,142,"1,139.13","1,028","2,864.61","5,844","23,312.21","7,025","27,322.68"
Golaghat,118,13,361.00,0,0,0,0,1,12.17,410,"4,721.84","2,580","8,264.63","13,951","67,474.71","16,955","80,834.35"
Hailakandi,44,9,3.08,0,0,0,0,0,0,80,860.50,526,"1,666.09","4,972","17,237.56","5,587","19,767.23"
Hojai,54,12,1.24,0,0,0,0,0,8.16,150,"2,052.01","1,025","3,343.17","6,371","23,925.02","7,558","29,329.60"
Jorhat,135,5,192.87,2,180.36,0,0,3,123,"1,061","10,946.57","4,003","13,021.46","22,109","83,721.86","27,183","1,08,186.12"
Kamrup Metro,168,14,7.24,0,0,0,0,3,62.91,725,"10,206.90","5,719","23,303.88","32,746","1,97,136.96","39,207","2,30,717.89"
Karbi Anglong,64,0,0,0,0,0,0,0,0,99,988.25,966,"2,818.13","5,889","29,642.92","6,954","33,449.30"
Karimganj,87,3,0.40,0,0,0,0,1,9.03,80,951.79,"1,289","4,565.17","7,803","23,118.39","9,176","28,644.78"
Kokrajhar,51,4,0.97,0,0,0,0,1,16.31,285,"2,906.50","1,220","4,640.67","8,804","32,894.55","10,314","40,459.00"
Lakhimpur,88,3,2.20,1,105.76,0,0,5,60.41,463,"4,844.74","2,185","9,100.73","11,060","43,905.76","13,717","58,019.60"
Majuli,15,0,0,0,0,0,0,0,0,78,521.09,364,"2,086.69",714,"4,123.09","1,156","6,730.87"
Morigaon,67,11,4.01,0,0,0,0,1,26.68,129,"1,555.99","1,117","5,111.36","5,525","22,078.41","6,783","28,776.45"
Nagaon,153,0,0,5,27.4,0,0,2,11.5,595,"6,204.43","2,977","11,717.70","19,552","83,867.52","23,131","1,01,828.55"
Nalbari,85,1,0.56,2,115.4,0,0,1,22.33,466,"5,529.70","2,142","7,839.20","9,548","38,883.05","12,160","52,390.24"
Sivasagar,96,0,0,0,0,0,0,4,48.55,525,"6,326.70","3,283","12,668.83","19,373","72,440.95","23,185","91,485.03"
Sonitpur,131,3,1.10,0,0,0,0,6,84.19,814,"10,157.45","3,341","11,526.62","19,728","75,118.98","23,892","96,888.34"
South Salmara,11,0,0,0,0,0,0,0,0,55,32.72,82,236.94,636,"4,055.87",773,"4,325.53"
Tinsukia,149,5,367.58,3,328,0,0,3,44.58,434,"6,121.47","3,239","11,901.07","16,382","75,362.17","20,066","94,124.87"
Udalguri,49,0,0,0,0,0,0,0,0,165,540.46,714,"1,320.82","4,569","24,411.13","5,448","26,272.41"
West Karbi Anglong,21,0,0,0,0,0,0,0,0,16,55.08,147,245.77,831,"4,400.37",994,"4,701.22"
