district,Total Branch,KCCs for AH and Allied Activities No,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mechanisation No,Farm Mechanisation Amt,Poultry No,Poultry Amt,fisheries no,fisheries Amt,Godown No,Godown Amt,Clinic No,Clinic Amt,Other No,Other Amt,Total IC-Agri O/S No.,Total IC-Agri O/S Amt
Baksa,56,348,337.85,5,4.88,231,324.94,686,252.43,61,81.88,24,57.26,0,0,1,5.9,"1,308","1,461.17","2,664","2,526.31"
Barpeta,121,895,762.82,195,99.09,"1,354","1,413.83","9,507","3,187.52",403,502.88,341,323.58,2,13.12,1,1.1,"5,763","5,812.40","18,461","12,116.34"
Biswanath,55,409,662.34,3,225.74,51,75.62,317,145.64,117,104.67,12,20.64,0,0,1,0.1,"1,405","1,887.92","2,315","3,122.67"
Bongaigaon,57,219,105.29,62,35.62,"1,097",631.53,"3,359",830.88,156,162.14,67,31.53,2,132.37,0,0,"2,462","1,739.25","7,424","3,668.61"
Cachar,160,561,"1,634.70",494,304.35,"1,188","1,539.03","1,445",378.91,371,691.78,236,356.40,8,58.24,43,42.94,"3,696","3,816.99","8,042","8,823.34"
Charaideo,35,259,229.00,4,4.53,40,63.52,26,29.04,112,99.73,5,9.36,1,0.65,2,0.58,839,854.91,"1,288","1,291.32"
Chirang,35,441,195.39,2,1.34,228,232.36,4,7.21,44,46.41,139,40.62,1,0.92,0,0,757,645.36,"1,616","1,169.61"
Darrang,68,405,364.31,20,14.49,816,"1,317.51","3,712","1,016.30",148,148.15,159,287.70,1,29.46,3,18.11,"4,175","2,859.85","9,439","6,055.88"
Dhemaji,45,486,387.68,1,0.28,122,221.63,"4,862","1,067.03",174,179.21,24,45.21,0,0,0,0,"2,056","2,117.51","7,725","4,018.55"
Dhubri,86,198,239.73,13,8.15,397,278.20,"1,661",481.10,190,158.43,58,32.64,0,0,4,16.71,"1,831","2,089.23","4,352","3,304.19"
Dibrugarh,180,614,532.59,456,384.96,699,794.73,"5,402","1,092.20",460,527.03,84,118.11,4,4.99,21,173.89,"6,819","8,922.65","14,559","12,551.15"
Dima Hasao,29,91,40.29,0,0,22,13.94,4,6.68,161,104.11,8,3.32,0,0,0,0,129,105.00,415,273.34
Goalpara,67,292,214.21,27,16.80,345,319.45,"1,705",314.16,286,165.45,"1,106",303.03,6,0.95,0,0,"1,730","2,248.00","5,497","3,582.05"
Golaghat,118,738,419.77,21,37.37,436,398.23,"6,060","1,448.79",132,184.39,40,41.86,3,534.97,6,3.37,"8,327","6,602.26","15,763","9,671.01"
Hailakandi,44,179,147.29,0,0,438,542.36,32,39.77,233,302.22,36,37.37,0,0,9,10.13,"1,004","1,135.97","1,931","2,215.11"
Hojai,54,145,96.77,0,0,390,508.60,"1,400",365.15,106,111.58,18,15.34,2,0.73,6,71.53,"1,079","1,084.37","3,146","2,254.07"
Jorhat,135,532,354.54,64,29.57,847,743.06,"2,568",765.82,148,201.26,52,64.68,1,0.76,5,85.27,"4,785","8,961.76","9,002","11,206.72"
Kamrup Metro,168,527,529.53,194,106.97,"5,549","2,282.95","12,427","2,783.69",756,"1,223.16",489,207.25,2,16.77,3,3.48,"7,052","7,228.78","26,999","14,382.58"
Karbi Anglong,64,98,83.90,0,0,482,232.78,"1,190",280.44,50,66.78,28,25.67,0,0,0,0,866,"1,310.71","2,714","2,000.28"
Karimganj,87,66,84.12,5,2.33,543,771.43,386,138.37,120,163.43,289,430.97,0,0,3,2.21,"1,729","1,593.63","3,141","3,186.49"
Kokrajhar,51,176,162.58,0,0,392,359.96,340,71.62,153,169.50,33,324.84,0,0,3,11.2,646,867.34,"1,743","1,967.04"
Lakhimpur,88,298,204.17,55,38.11,490,582.05,"6,819","1,443.37",328,566.58,138,230.26,1,0.26,6,9.76,"3,912","2,766.51","12,047","5,841.07"
Majuli,15,34,26.00,0,0,8,1.00,33,51.46,8,8.50,7,3.23,0,0,1,0.07,136,94.11,227,184.37
Morigaon,67,711,583.34,359,200,951,"1,191.91","2,596","1,195.64",306,302.83,244,346.66,1,14.03,1,0.87,"3,218","3,099.69","8,387","6,934.97"
Nagaon,153,616,420.01,33,39.64,"1,528","1,459.44","13,559","3,337.62",352,369.75,235,674.39,0,0,72,102.46,"10,109","5,087.13","26,504","11,490.44"
Nalbari,85,457,370.53,29,15.19,880,807.69,"9,721","2,239.36",445,329.41,164,134.34,2,11.26,3,4.26,"3,476","4,107.93","15,177","8,019.97"
Sivasagar,96,725,493.83,50,13.97,"1,017",756.45,"4,390","1,106.14",996,"1,047.58",51,29.89,0,0,9,5.69,"4,450","3,604.66","11,688","7,058.21"
Sonitpur,131,642,597.71,204,138.19,315,429.48,"5,440","1,348.89",402,446.67,78,177.46,1,0.21,6,17.01,"2,448","2,901.42","9,536","6,057.04"
South Salmara,11,0,0,0,0,3,10.41,1,0.90,3,10.52,1,2.18,0,0,0,0,58,184.34,66,208.35
Tinsukia,149,529,541.77,175,88.81,896,"1,177.84","9,213","1,736.95",386,758.68,74,64.78,0,0,5,203.34,"2,643","10,085.96","13,921","14,658.13"
Udalguri,49,120,126.34,3,1.28,152,257.92,36,39.31,200,212.80,73,62.43,0,0,5,10.24,960,"1,133.40","1,549","1,843.72"
West Karbi Anglong,21,4,6.13,0,0,116,44.98,3,3.25,1,3.79,7,1.49,0,0,0,0,50,79.35,181,138.99
