district,Total Branch,CHRISTIANS No.,CHRISTIANS Amt,MUSLIMS No,MUSLIMS Amt.,BUDDHISTS No,BUDDHISTS Amt.,SIKHS No.,SIKHS Amt.,ZORASTRIANS No.,ZORASTRIANS Amt.,JAINS No.,JAINS Amt.,Tot Minority Disb No.,Tot Minority Disb Amt.
Baksa,56,71,95.79,"1,408","1,748.07",5,6.26,1,0,0,0,1,4.90,"1,486","1,855.02"
Barpeta,121,73,182.08,"34,277","30,167.25",8,5.02,10,23.10,0,0,11,553.39,"34,379","30,930.84"
Biswanath,55,86,95.42,"2,140","2,103.19",2,1.81,8,6.82,0,0,1,0,"2,237","2,207.24"
Bongaigaon,57,303,475.55,"8,388","12,665.54",438,228.71,14,72.56,1,0.01,9,26.95,"9,153","13,469.32"
Cachar,160,864,"1,809.23","22,692","25,931.89",24,67.50,29,74.14,2,9.33,8,102.46,"23,619","27,994.55"
Charaideo,35,55,148.19,560,906.60,26,63.19,8,31.19,2,2.63,0,0,651,"1,151.80"
Chirang,35,171,234.37,"2,417","2,512.53",4,3.00,2,5.00,0,0,0,0,"2,594","2,754.90"
Darrang,68,69,178.21,"14,104","13,865.22",10,14.97,3,34.31,0,0,4,82.96,"14,190","14,175.67"
Dhemaji,45,44,131.29,217,295.75,8,22.96,5,0,1,5,0,0,275,455.00
Dhubri,86,82,126.25,"24,887","22,420.51",2,12.06,9,53.72,0,0,10,60.49,"24,990","22,673.03"
Dibrugarh,180,473,"1,385.06","4,197","7,855.06",121,197.84,145,336.46,2,0.27,27,131.36,"4,965","9,906.05"
Dima Hasao,29,"2,255","3,018.15",224,469.29,3,17.12,3,15.17,0,0,0,0,"2,485","3,519.73"
Goalpara,67,777,729.57,"12,334","11,403.80",6,15.20,9,34.10,4,4.59,2,26.3,"13,132","12,213.56"
Golaghat,118,434,580.96,"3,734","4,829.48",132,74.55,23,31.81,1,0,10,237.28,"4,334","5,754.08"
Hailakandi,44,50,107.11,"10,136","9,563.20",2,8.37,3,0,0,0,0,0,"10,191","9,678.68"
Hojai,54,104,203.66,"9,347","7,242.63",10,17.26,18,69.45,0,0,1,10.00,"9,480","7,543.00"
Jorhat,135,356,541.41,"2,760","6,291.81",253,314.90,49,375.10,2,36,21,"1,374.04","3,441","8,933.26"
Kamrup Metro,168,278,566.09,"20,071","19,187.80",117,107.28,17,48.58,0,0,12,158.35,"20,495","20,068.10"
Karbi Anglong,64,"1,434","1,535.21",343,594.92,36,38.42,4,30.82,1,0.45,10,129.16,"1,828","2,328.98"
Karimganj,87,186,201.46,"9,552","9,959.47",4,1.10,12,62.50,1,0,6,173.91,"9,761","10,398.44"
Kokrajhar,51,"1,297","1,065.21","4,513","5,660.05",5,6.67,7,1.70,0,0,1,0,"5,823","6,733.63"
Lakhimpur,88,345,564.30,"8,026","7,363.54",18,41.53,19,21.31,2,1.56,3,1.40,"8,413","7,993.64"
Majuli,15,0,0,10,27.14,1,0.10,0,0,0,0,0,0,11,27.24
Morigaon,67,46,93.93,"7,274","7,245.35",3,0.95,4,10.09,0,0,1,3.00,"7,328","7,353.32"
Nagaon,153,402,370.15,"42,894","33,988.15",26,17.19,82,206.62,3,1.3,12,254.31,"43,419","34,837.72"
Nalbari,85,34,107.04,"7,409","8,680.48",7,1.36,12,9.85,0,0,9,"1,088.73","7,471","9,887.46"
Sivasagar,96,136,168.26,"6,005","11,281.82",223,220.18,15,29.73,3,6.52,1,5.00,"6,383","11,711.51"
Sonitpur,131,459,984.37,"7,085","9,102.30",70,238.11,68,206.22,0,0,8,44.01,"7,690","10,575.01"
South Salmara,11,13,104.48,"2,169","3,282.63",0,0,0,0,0,0,1,0.47,"2,183","3,387.58"
Tinsukia,149,642,"1,178.78","1,758","2,557.35",261,"1,097.54",76,240.24,0,0,8,67.79,"2,745","5,141.70"
Udalguri,49,"2,757","1,953.76","3,143","3,463.96",0,0,0,0,0,0,1,5.00,"5,901","5,422.72"
West Karbi Anglong,21,178,249.82,32,83.77,1,0,4,0.66,1,0,0,0,216,334.25
