District,Total Branch,Sep-I No.,Sep-I Amt,Sep-G No.,Sep-G Amt,Sep-G No. of Beneficiary,SHG No.,SHG Amt,SHG No. of Beneficiary,Women SHG No.,Women SHG Amt,Women SHG No. of Beneficiary,Total Current Year NULM Disb No.,Total Current Year NULM Disb Amt,NULM O/S No.,NULM O/S Amt,NULM NPA No.,NULM NPA Amt,NULM NPA Pct
Baksa,56,0,0.00,2,6.74,16,4,8.74,36,18,8.74,36,6,15.48,48,34.66,7,1.19,3.43
Barpeta,121,3,0.50,14,24.01,106,49,52.23,430,75,51.49,370,66,76.74,795,847.61,244,69.01,8.14
Biswanath,55,0,0.00,0,0.00,60,10,31.00,107,10,31.00,107,10,31.00,48,57.53,1,0.42,0.73
Bongaigaon,57,1,0.98,2,5.26,2,19,29.13,120,14,16.87,115,22,35.37,72,110.13,23,10.29,9.34
Cachar,160,6,12.33,0,0.00,0,67,196.82,643,11,17.66,83,73,209.15,237,361.87,15,7.38,2.04
Charaideo,35,2,3.80,0,0.00,0,0,0.00,0,4,16.00,4,2,3.80,2,3.73,0,0.00,0.00
Chirang,35,0,0.00,0,0.00,0,16,9.10,140,16,9.10,140,16,9.10,41,36.76,3,3.08,8.38
Darrang,68,0,0.00,1,2.00,0,61,136.92,458,61,136.92,458,62,138.92,245,836.14,5,5.78,0.69
Dhemaji,45,1,1.32,1,0.19,0,62,163.23,319,61,162.23,318,64,164.74,72,597.41,3,2.80,0.47
Dhubri,86,0,0.00,6,4.56,82,32,33.87,241,27,20.17,217,38,38.43,247,154.97,200,108.84,70.23
Dibrugarh,180,42,73.77,20,24.28,213,190,446.85,1539,53,66.75,354,252,544.90,428,1042.18,39,22.52,2.16
Dima Hasao,29,6,10.90,0,0.00,0,3,5.58,3,1,1.88,2,9,16.48,25,28.55,0,0.00,0.00
Goalpara,67,0,0.00,2,3.52,16,20,25.48,183,39,24.54,302,22,29.00,60,44.67,4,1.95,4.37
Golaghat,118,0,0.00,0,0.00,0,29,162.08,40,3,9.08,14,29,162.08,104,289.03,11,7.07,2.45
Hailakandi,44,1,1.73,5,8.24,40,36,58.45,61,41,11.46,42,42,68.42,229,270.62,23,23.08,8.53
Hojai,54,0,0.00,0,0.00,0,16,27.06,142,16,27.06,142,16,27.06,131,107.95,0,0.00,0.00
Jorhat,135,1,0.20,5,6.43,40,509,1969.5,4959,60,98.89,460,515,1976.16,770,1795.05,13,6.32,0.35
Kamrup Metro,168,3,0.10,4,6.44,39,107,337.61,1397,102,166.97,1363,114,344.15,331,876.45,16,11.08,1.26
Karbi Anglong,64,0,0.00,0,0.00,0,10,18.00,80,12,21.50,82,10,18.00,22,34.31,1,1.84,5.36
Karimganj,87,1,1.37,3,5.20,26,18,57.87,50,30,20.87,54,22,64.44,136,170.74,41,11.24,6.58
Kokrajhar,51,1,1.00,0,0.00,0,4,3.90,31,5,5.90,31,5,4.90,77,78.73,11,12.74,16.18
Lakhimpur,88,0,0.00,0,0.00,0,18,42.00,274,35,95.00,276,18,42.00,100,105.45,9,2.93,2.78
Majuli,15,0,0.00,0,0.00,0,1,1.00,1,0,0.00,0,1,1.00,0,0.00,0,0.00,0.00
Morigaon,67,0,0.00,0,0.00,0,10,15.27,31,7,10.77,34,10,15.27,326,395.55,65,14.25,3.60
Nagaon,153,1,0.48,0,0.00,0,224,788.10,1836,61,66.82,178,225,788.58,241,761.44,9,5.02,0.66
Nalbari,85,0,0.00,1,5.87,8,12,18.95,109,19,17.35,110,13,24.82,242,528.30,15,10.47,1.98
Sivasagar,96,12,18.97,0,0.00,0,33,52.04,262,29,53.26,212,45,71.01,148,208.81,6,6.18,2.96
Sonitpur,131,9,78.10,0,0.00,0,14,25.33,88,16,32.23,87,23,103.43,184,321.77,5,4.18,1.30
South Salmara,11,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0.00,0,0.00,0.00
Tinsukia,149,32,11.78,4,15.39,29,323,1050.89,3023,93,163.89,666,359,1078.06,826,1845.04,49,36.15,1.96
Udalguri,49,0,0.00,1,1.71,8,2,2.71,18,17,2.71,139,3,4.42,23,19.52,5,3.89,19.93
West Karbi Anglong,21,0,0.00,1,3.00,5,0,0.00,0,0,0.00,0,1,3.00,45,96.42,0,0.00,0.00
