District,Total Branch,Small and Marginal Farmers No.,Small and Marginal Farmers Amt,Scheduled Castes No.,Scheduled Castes Amt,Scheduled Tribes No.,Scheduled Tribes Amt,DRI scheme No.,DRI scheme Amt,Self Help Groups No.,Self Help Groups Amt,women beneficiaries No.,women beneficiaries Amt,Minority communities No.,Minority communities Amt,PMJDY No.,PMJDY Amt,Others No.,Others Amt,Total Weaker Sec O/S No.,Total Weaker Sec O/S Amt
Baksa,56,22762,16025.25,2973,2596.79,10576,10895.44,23,7.67,5763,8261.77,12864,3988.22,2688,3380.65,159,4.81,3228,2560.23,61036,47720.83
Barpeta,121,65050,45201.62,11311,6647.26,4308,3902.33,199,26.67,17471,11193.11,59677,18737.13,40988,46850.73,966,9306.93,7665,8150.37,207635,150016.15
Biswanath,55,26323,16995.70,5219,4034.59,7465,4773.86,64,16.59,7969,9480.87,17670,5955.23,4869,4202.95,115,4.08,6907,6135.65,76601,51599.52
Bongaigaon,57,18622,16358.47,5817,4283.41,2667,4270.20,93,17.50,5774,4282.25,22843,9160.09,8316,14875.80,913,15.88,9268,8751.36,74313,62014.96
Cachar,160,65776,44640.07,39431,23277.95,7532,6689.58,592,111.55,7657,5774.88,95175,34978.89,39714,38508.05,1929,78.44,36743,42210.68,294549,196270.09
Charaideo,35,14764,9792.92,1399,1140.97,1028,841.81,57,11.74,2643,2957.69,9802,3316.22,1622,1521.51,133,9.04,3664,4281.75,35112,23873.65
Chirang,35,19304,13297.15,2596,1723.50,11148,10504.40,61,36.13,3478,4932.79,11504,4429.63,6403,4746.71,14,4.17,3129,2821.24,57637,42495.72
Darrang,68,42052,28473.54,3188,2232.34,1989,1771.46,90,14.49,9053,8307.36,36915,11170.02,21335,24040.55,822,11.20,5115,4949.33,120559,80970.29
Dhemaji,45,27716,20512.11,4141,3492.03,14164,15552.70,122,19.05,10687,8434.84,13226,4885.53,804,566.19,161,16.26,8899,9213.56,79920,62692.27
Dhubri,86,37371,23239.57,7232,4228.29,2336,1622.12,169,54.26,6675,6378.59,43838,14298.98,26369,26489.16,693,24.92,10890,9235.77,135573,85571.66
Dibrugarh,180,77758,51146.64,13223,11443.50,13687,14786.63,443,143.69,14675,9281.33,64378,23575.07,6688,12405.31,629,41.44,22347,24644.10,213828,147467.71
Dima Hasao,29,1653,1219.61,1061,1301.39,2865,5137.46,80,5.13,1017,1235.95,2267,1149.13,1170,1911.94,59,4.54,3407,3953.12,13579,15918.27
Goalpara,67,33365,19312.03,4404,3011.53,12040,7476.15,191,45.95,8129,7866.40,29519,10530.44,20766,20647.67,273,10.76,5163,5393.90,113850,74294.83
Golaghat,118,64796,39956.84,12240,8063.38,12192,8937.45,238,42.22,12446,11477.81,55227,17061.70,5457,5866.59,1013,36.40,17454,15752.03,181063,107194.42
Hailakandi,44,21414,12554.10,7253,4586.07,1632,1322.02,120,19.49,2433,2503.31,18167,6549.20,19932,17177.37,131,19.28,6561,5723.03,77643,50453.87
Hojai,54,24575,15867.28,9880,6552.00,4119,3104.96,231,29.00,4070,3124.70,23877,9501.89,17236,13985.09,161,22.48,13405,10385.88,97554,62573.28
Jorhat,135,49912,27902.82,12000,8124.16,13320,9477.80,276,90.94,9003,8816.13,55164,16586.59,5571,7440.12,895,28.02,13638,11512.39,159779,89978.97
Kamrup Metro,168,83599,50431.58,17608,11251.92,14399,10150.91,395,88.73,25519,16851.67,90197,28589.47,23695,25743.60,716,29.58,13733,12486.82,269861,155624.28
Karbi Anglong,64,15883,9802.09,983,1317.28,12761,15662.74,29,3.78,5991,6890.25,13841,4830.35,2162,2502.89,143,2.18,2090,2439.59,53883,43451.15
Karimganj,87,34888,25820.53,20487,11060.81,3010,2081.78,234,53.94,3921,3307.16,45109,14572.99,19687,15604.69,385,43.52,12893,10732.78,140614,83278.20
