district,Total Branch,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C Nos,Forestry and wasteland Dev. Amt,Water Resource A/C Nos,Water Resource Amount,Farm mechanizatio n A/C Nos,Farm mechanization Amount,Plantation & horticulture A/C Nos,Plantation & horticulture Amount,Animal Husbandry A/C Nos,Animal Husbandry Amount,Fishery A/C Nos,Fishery Amount,Farm Credit Others A/C Nos,Farm Credit Others Amount,Agri. Infrastruc ture Ac,Agri. Infrastructure Amt,Ancillary Activities Ac,Ancillary Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
Baksa,56,"2,610","2,652.05",4,1.42,0,0,451,140.01,0,0,350,859.65,11,8.69,"2,454","5,367.83",1,7.7,923,"1,516.02","6,804","10,553.37"
Barpeta,121,"7,308","8,058.83",242,151.92,0,0,"6,359","1,967.87",20,29.33,371,311.66,225,83.32,"5,193","8,524.76",10,298.82,"1,210","3,225.42","20,938","22,651.93"
Biswanath,55,"4,372","3,754.53",2,0.69,0,0,199,65.04,0,0,711,"1,367.25",15,20.03,"2,151","5,006.51",4,102.21,793,"1,749.23","8,247","12,065.49"
Bongaigaon,57,"2,395","3,512.62",25,13.69,0,0,"2,460",624.13,13,15.47,236,304.84,34,10.72,"2,697","5,870.19",2,1.28,473,"1,155.08","8,335","11,508.02"
Cachar,160,"8,120","7,945.65",145,104.63,0,0,"1,812",482.42,1,0.5,203,290.67,136,274.78,"3,449","4,976.56",4,203.54,749,"2,172.98","14,619","16,451.73"
Charaideo,35,"1,286","1,516.33",0,0,0,0,1,0,0,0,156,508.22,2,1.52,"1,617","4,355.26",8,10.85,362,281.15,"3,432","6,673.33"
Chirang,35,"2,219","2,288.19",0,0,0,0,0,0,0,0,46,59.80,118,33.85,"1,651","4,559.39",4,1.05,676,"1,046.75","4,714","7,989.03"
Darrang,68,"4,646","4,989.69",129,88.62,0,0,"1,929",648.83,6,7.82,265,505.96,47,24.56,"3,484","5,835.23",86,39.2,"1,100","3,468.60","11,692","15,608.51"
Dhemaji,45,"5,941","5,414.16",0,0,0,0,"2,613",827.42,0,0,571,"1,153.11",43,55.21,"2,530","5,511.89",1,0.08,536,483.34,"12,235","13,445.21"
Dhubri,86,"4,392","5,214.83",87,58.03,0,0,"1,423",345.11,2,2.4,227,783.10,53,16.20,"3,167","7,036.45",5,3.1,279,540.08,"9,635","13,999.30"
Dibrugarh,180,"14,589","13,639.48",222,150.60,2,4.31,"3,226",751.37,3,6.77,973,"1,698.57",9,6.38,"6,744","9,664.59",119,123.99,"2,834","14,697.77","28,721","40,743.83"
Dima Hasao,29,328,220.52,0,0,0,0,0,0,0,0,82,79.18,5,1.53,504,"1,193.22",0,0,66,115.21,985,"1,609.66"
Goalpara,67,"3,776","4,788.49",17,8.58,0,0,"1,116",226.41,0,0,268,629.71,"1,067",313.78,"1,947","5,871.14",0,0,"1,353","2,331.81","9,544","14,169.92"
Golaghat,118,"8,686","9,059.70",82,48.23,0,0,"3,589","1,023.07",7,25.82,892,"1,802.49",7,8.30,"6,988","11,884.30",21,221.56,"2,022","9,173.70","22,294","33,247.17"
Hailakandi,44,"2,222","1,607.97",0,0,0,0,111,48.04,0,0,245,316.39,3,0,"1,046","2,085.86",1,0.1,456,"1,588.87","4,084","5,647.23"
Hojai,54,"6,598","4,054.66",0,0,0,0,854,198.06,8,1.64,104,99.37,19,7.62,"1,699","2,546.73",4,184.65,774,980.12,"10,060","8,072.85"
Jorhat,135,"6,555","5,458.44",199,100.64,2,1.2,"1,568",462.30,4,2.13,449,715.14,9,5.44,"6,578","9,752.98",127,265.47,"1,735","19,023.93","17,226","35,787.67"
KARIMGANJ,87,"3,375","2,388.38",30,23.30,0,0,136,47.06,0,0,213,383.43,61,136.60,"1,722","2,986.71",2,11.02,561,740.67,"6,100","6,717.17"
Kamrup,168,"8,186","8,523.30",653,600.83,0,0,"8,016","2,272.47",60,23.81,906,"1,238.79",244,90.12,"5,514","9,941.33",5,12.81,"2,753","4,239.20","26,337","26,942.66"
Kamrup Metro,414,"3,021","7,637.90",342,379.77,3,3,607,172.91,16,18.42,"1,364",796.42,293,88.69,"5,942","14,179.00",21,2214.77,"2,205","39,824.24","13,814","65,315.12"
Karbi Anglong,64,"9,116","5,838.07",3,5.35,0,0,670,233.76,13,25.69,"1,324","2,513.73",11,5.04,"3,189","7,463.47",0,0,501,268.49,"14,827","16,353.60"
