District,Total Branch,Current Year Crop Loan Achievement Amt,Kharif No. of Farmers covered under Pmfby,Kharif Amount insured under Pmfby,Kharif Insurance Number (Others),Kharif Insurance Amount (Others),Rabi No. of Farmers covered under Pmfby,Rabi Amount insured under Pmfby,Rabi Insurance Number (Others),Rabi Insurance Amount (Others)
Baksa,56,1312.81,179,36.36,0,0.00,98,160.09,0,0.00
Barpeta,121,7496.29,415,104.18,0,0.00,198,105.28,0,0.00
Biswanath,55,2643.66,49,33.3,0,0.00,14,23.47,0,0.00
Bongaigaon,57,4336.07,179,45.47,0,0.00,58,3.42,0,0.00
Cachar,160,5967.94,766,290.36,0,0.00,0,0.00,0,0.00
Charaideo,35,2383.22,8,2.42,0,0.00,0,0.00,0,0.00
Chirang,35,3571.02,68,15.36,0,0.00,2,0.66,0,0.00
Darrang,68,2525.97,114,12.67,0,0.00,80,100.53,0,0.00
Dhemaji,45,4192.49,126,37.35,0,0.00,36,31.20,0,0.00
Dhubri,86,8506.40,315,12.49,0,0.00,113,17.52,0,0.00
Dibrugarh,180,14134.30,363,286.02,0,0.00,0,0.00,0,0.00
Dima Hasao,29,102.85,0,0,0,0.00,0,0.00,0,0.00
Goalpara,67,1786.88,123,76.82,0,0.00,128,10.84,0,0.00
Golaghat,118,7852.16,76,45.92,0,0.00,0,0.00,0,0.00
Hailakandi,44,3384.76,149,40.03,0,0.00,11,0.01,0,0.00
Hojai,54,1423.69,78,28.68,0,0.00,2,1.56,0,0.00
Jorhat,135,6136.69,211,31.18,0,0.00,6,2.94,0,0.00
Kamrup Metro,168,4881.91,212,118.28,0,0.00,610,10.65,0,0.00
Karbi Anglong,64,7335.62,472,146.94,0,0.00,28,9.13,0,0.00
Karimganj,87,2793.21,37,10.87,0,0.00,0,0.00,0,0.00
Kokrajhar,51,3249.01,207,55.17,0,0.00,252,115.21,0,0.00
Lakhimpur,88,9116.79,2790,67.41,0,0.00,592,20.24,0,0.00
Majuli,15,171.08,27,18.34,0,0.00,44,0.85,0,0.00
Morigaon,67,2562.53,408,194.56,0,0.00,24,5.07,0,0.00
Nagaon,153,9315.22,283,69.35,0,0.00,2,1.12,0,0.00
Nalbari,85,4262.96,71,9.12,0,0.00,28,30.46,0,0.00
Sivasagar,96,4543.68,59,18.63,0,0.00,0,0.00,0,0.00
Sonitpur,131,5768.20,713,143.13,0,0.00,270,58.34,0,0.00
South Salmara,11,166.81,0,0,0,0.00,0,0.00,0,0.00
Tinsukia,149,13483.04,43,31.21,0,0.00,2,3.35,0,0.00
Udalguri,49,2789.95,51,20.96,0,0.00,1,0.45,0,0.00
West Karbi Anglong,21,864.62,18,6.85,0,0.00,0,0.00,0,0.00
