District,Total Branch,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,Other Msme No.,Other Msme Amt,Msme Total O/S No.,Msme Total O/S Amt
Baksa,56,"15,407","13,837.66",128,"2,665.27",1,959.10,"1,465","1,137.67","17,001","18,599.70"
Barpeta,121,"29,409","52,036.70",954,"15,231.96",84,"2,444.11","1,525",703.63,"31,972","70,416.40"
Biswanath,55,"12,224","13,958.86",337,"5,861.85",29,"2,910.99","1,361",787.63,"13,951","23,519.33"
Bongaigaon,57,"13,489","27,383.62",992,"17,736.95",47,"2,910.16","1,440",646.05,"15,968","48,676.78"
Cachar,160,"33,234","71,604.89","1,644","32,722.54",94,"6,970.88","1,442","3,536.11","36,414","1,14,834.42"
Charaideo,35,"5,428","9,206.65",146,"2,425.42",3,48.27,35,37.59,"5,612","11,717.93"
Chirang,35,"9,045","9,335.96",126,"2,190.27",10,"1,911.55",825,567.33,"10,006","14,005.11"
Darrang,68,"15,303","25,128.91",468,"8,890.08",15,704.14,787,500.47,"16,573","35,223.60"
Dhemaji,45,"17,628","17,161.28",398,"5,638.89",2,12.55,"1,087",867.11,"19,115","23,679.83"
Dhubri,86,"17,922","24,289.70",570,"9,985.67",8,565.16,171,178.94,"18,671","35,019.47"
Dibrugarh,180,"38,464","1,00,155.19","2,425","71,823.14",200,"9,310.40","1,238",700.76,"42,327","1,81,989.49"
Dima Hasao,29,"2,696","4,192.27",81,465.60,0,0,146,235.06,"2,923","4,892.93"
Goalpara,67,"17,367","17,346.98",280,"8,512.31",6,910.61,464,426.28,"18,117","27,196.18"
Golaghat,118,"19,604","32,865.34","1,093","19,345.35",27,"2,549.06","2,308","1,515.23","23,032","56,274.98"
Hailakandi,44,"7,835","12,860.66",255,"6,358.78",15,346.95,379,318.72,"8,484","19,885.11"
Hojai,54,"14,045","17,854.79",463,"6,170.94",0,0,129,194.42,"14,637","24,220.15"
Jorhat,135,"27,015","68,436.74","1,466","43,603.54",173,"17,691.17","1,957","1,543.59","30,611","1,31,275.04"
Kamrup Metro,168,"37,603","70,776.49","1,857","29,049.46",171,"7,737.58","2,724","2,134.16","42,355","1,09,697.69"
Karbi Anglong,64,"12,062","11,522.36",143,"2,502.64",6,312.25,89,70.98,"12,300","14,408.23"
Karimganj,87,"12,743","23,360.59",535,"7,300.50",32,"1,259.53","1,621","1,540.45","14,931","33,461.07"
Kokrajhar,51,"8,318","12,175.63",185,"6,152.79",3,6.61,228,231.21,"8,734","18,566.24"
Lakhimpur,88,"29,758","36,950.44",952,"16,478.13",15,365.64,"6,459","4,390.94","37,184","58,185.15"
Majuli,15,"2,932","5,210.14",52,657.67,0,0,562,435.59,"3,546","6,303.40"
Morigaon,67,"13,859","21,770.86",289,"3,019.73",10,"1,041.79","1,147",700.18,"15,305","26,532.56"
Nagaon,153,"25,290","48,440.97","1,447","25,462.49",89,"5,072.21",913,"5,015.47","27,739","83,991.14"
Nalbari,85,"16,872","24,577.03",423,"8,853.99",14,45.34,"1,141",972.50,"18,450","34,448.86"
Sivasagar,96,"21,108","41,095.76","1,208","26,299.42",32,"5,460.95","1,065","1,122.67","23,413","73,978.80"
Sonitpur,131,"24,945","52,955.72","1,605","28,560.99",158,"5,951.26",890,970.95,"27,598","88,438.92"
South Salmara,11,"1,530","2,939.75",23,371.28,1,21.00,31,103.90,"1,585","3,435.93"
Tinsukia,149,"27,336","73,495.80","1,619","45,540.85",65,"6,591.48",867,764.67,"29,887","1,26,392.80"
Udalguri,49,"12,466","13,035.67",77,"1,238.34",1,9.90,"1,193","1,179.43","13,737","15,463.34"
West Karbi Anglong,21,"1,705",843.46,5,46.94,1,1.41,1,0.15,"1,712",891.96
