district,Total Branch,Total Deposit,Total Advances,Overall CD Ratio
Baksa,56,"1,32,533","97,217",73
Barpeta,121,"5,42,125","3,63,784",67
Biswanath,55,"1,96,885","1,15,789",59
Bongaigaon,57,"3,55,383","2,27,553",64
Cachar,160,"10,14,554","4,69,920",46
Charaideo,35,"1,39,663","58,752",42
Chirang,35,"1,60,194","81,216",51
Darrang,68,"2,77,981","1,84,661",66
Dhemaji,45,"1,73,895","1,48,667",85
Dhubri,86,"3,63,767","2,00,515",55
Dibrugarh,180,"13,31,906","6,19,874",47
Dima Hasao,29,"1,20,100","46,207",38
Goalpara,67,"2,61,201","1,42,957",55
Golaghat,118,"4,45,412","2,95,522",66
Hailakandi,44,"2,00,821","89,688",45
Hojai,54,"3,04,076","1,34,423",44
Jorhat,135,"8,15,027","4,85,284",60
Kamrup Metro,168,"7,46,512","5,51,433",74
Karbi Anglong,64,"2,14,962","1,57,750",73
Karimganj,87,"4,50,379","1,49,149",33
Kokrajhar,51,"3,43,953","1,61,416",47
Lakhimpur,88,"3,30,103","2,78,246",84
Majuli,15,"49,620","32,284",65
Morigaon,67,"2,05,364","1,47,612",72
Nagaon,153,"6,67,122","4,55,314",68
Nalbari,85,"3,46,647","2,25,342",65
Sivasagar,96,"5,24,574","3,32,817",63
Sonitpur,131,"6,48,582","4,03,223",62
South Salmara,11,"33,478","17,798",53
Tinsukia,149,"8,35,255","4,48,614",54
Udalguri,49,"1,72,417","1,22,858",71
West Karbi Anglong,21,"30,906","30,228",98
