District,Total Branch,Current Year No. of Female Account,Current Year Sum of Female Amt,Current Year No. of Male Account to SC,Current Year Sum of Male Amount to SC,Current Year No. of Male Account to ST,Current Year Sum of Male Amount to ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amt,SUI O/S No.,SUI O/S Amt,SUI NPA No.,SUI NPA Amt,SUI NPA Pct
Baksa,56,1,7.50,0,0.00,1,2.00,2,9.50,6,41.31,0,0.00,0.00
Barpeta,121,13,254.68,1,0.00,2,72.00,16,326.68,69,1021.94,9,126.38,12.37
Biswanath,55,6,19.72,2,44.45,0,0.00,8,64.17,27,335.84,0,0.00,0.00
Bongaigaon,57,2,11.10,1,10.00,2,36.85,5,57.95,66,625.40,10,78.31,12.52
Cachar,160,9,247.77,2,34.50,2,45.50,13,327.77,67,885.77,6,58.26,6.58
Charaideo,35,2,0.00,0,0.00,0,0.00,2,0.00,12,200.35,0,0.00,0.00
Chirang,35,2,44.00,0,0.00,0,0.00,2,44.00,19,324.48,1,16.39,5.05
Darrang,68,1,0.00,0,0.00,1,20.09,2,20.09,35,514.82,10,98.29,19.09
Dhemaji,45,1,20.00,0,0.00,1,0.00,2,20.00,12,116.62,1,9.57,8.21
Dhubri,86,11,117.46,0,0.00,0,0.00,11,117.46,37,623.20,1,8.78,1.41
Dibrugarh,180,43,572.75,8,153.29,5,55.96,56,782.00,195,2954.76,18,312.85,10.59
Dima Hasao,29,0,0.00,0,0.00,0,0.00,0,0.00,9,79.83,0,0.00,0.00
Goalpara,67,3,58.79,0,0.00,0,0.00,3,58.79,24,221.21,7,34.20,15.46
Golaghat,118,4,27.04,3,86.37,0,0.00,7,113.41,61,829.82,2,19.70,2.37
Hailakandi,44,2,32.00,0,0.00,0,0.00,2,32.00,10,206.07,0,0.00,0.00
Hojai,54,13,242.80,0,0.00,0,0.00,13,242.80,35,510.05,1,4.62,0.91
Jorhat,135,12,218.57,5,66.57,0,0.00,17,285.14,71,819.47,9,50.76,6.19
Kamrup Metro,168,47,315.97,6,40.37,56,41.55,109,397.89,67,1002.19,7,96.25,9.60
Karbi Anglong,64,2,37.21,0,0.00,1,18.00,3,55.21,26,422.02,3,9.35,2.22
Karimganj,87,3,40.00,0,0.00,0,0.00,3,40.00,20,266.43,1,8.89,3.34
Kokrajhar,51,16,25.32,37,193.00,66,19.55,119,237.87,16,386.24,1,20.52,5.31
Lakhimpur,88,8,74.56,2,18.81,1,7.56,11,100.93,52,582.51,12,143.49,24.63
Majuli,15,10,2.23,18,54.00,22,1.45,50,57.68,6,42.23,1,2.07,4.90
Morigaon,67,7,50.48,5,48.65,1,0.01,13,99.14,37,328.00,5,29.26,8.92
Nagaon,153,6,72.17,2,24.55,0,0.00,8,96.72,85,1031.97,7,44.88,4.35
Nalbari,85,17,166.76,8,50.98,18,4.65,43,222.39,43,684.10,1,24.96,3.65
Sivasagar,96,22,260.36,5,50.37,8,14.74,35,325.47,66,744.28,5,49.24,6.62
Sonitpur,131,28,342.38,2,35.25,32,107.81,62,485.44,128,1727.04,8,51.79,3.00
South Salmara,11,1,0.00,0,0.00,0,0.00,1,0.00,1,0.64,0,0.00,0.00
Tinsukia,149,24,384.68,10,120.12,6,117.20,40,622.00,115,1892.26,1,24.03,1.27
Udalguri,49,4,65.00,24,48.50,4,0.15,32,113.65,12,182.56,2,21.27,11.65
West Karbi Anglong,21,1,20.00,0,0.00,0,0.00,1,20.00,5,69.34,0,0.00,0.00
