District,name_of_the_district,cd_ratio
Alluri Sitharama Raju,,126.0
Anakapalli,,179.0
Anantapur,,162.0
Annamayya,,161.0
Bapatla,,201.0
Chittoor,,139.0
East Godavari,,183.0
Eluru,,199.0
Guntur,,140.0
Kakinada,,151.0
Konaseema,,206.0
Krishna,,196.0
Kurnool,,156.0
Nandyal,,188.0
Ntr,,167.0
Palnadu,,248.0
Parvathipuram Manyam,,168.0
Prakasam,,205.0
Spsr Nellore,,179.0
Sri Sathya Sai,,170.0
Srikakulam,,154.0
Tirupati,,82.0
Visakhapatanam,,120.0
Vizianagaram,,163.0
West Godavari,,217.0
Y.s.r.,,165.0
