District,list_of_villages_with_population_of_more_than_3000_not_having_a_brick_and_mortar_bank_branch_s_n_1_2_3,district_name_alluri_sita_ramaraju,sub_district_name_koyyuru_gangavaram_vr_puram,village_name_adakula_nellipudi_waddegudem,population_3946_3636_5058,whether_an_ippb_centre_exists_in_village_yes_no_no
Chittoor,17.0,,,,3466.0,
Eluru,21.0,,,,7084.0,
Kakinada,16.0,,,,5069.0,
Konaseema,20.0,,,,3210.0,
Palnadu,19.0,,,,5971.0,
