district,no_of_aadhaar_seeded_casa,no_of_authenticated_casa,no_of_operative_casa
East Garo Hills,4311,3490,99324
East Jaintia Hills,3722,4282,93542
East Khasi Hills,85581,94859,903591
North Garo Hills,1249,784,110398
Ri Bhoi,9439,8813,241514
South Garo Hills,498,885,67839
South West Garo Hills,3093,2938,119506
South West Khasi Hills,210,361,64530
West Garo Hills,12532,12796,398490
West Jaintia Hills,6324,11190,236760
West Khasi Hills,10345,4188,219858
