district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
East Garo Hills,37.92,64,0.84,2,7.34,11,9.11,80.60,167
East Jaintia Hills,151.87,192,0.00,0,0.00,0,0.00,173.83,238
East Khasi Hills,182.00,178,1.42,3,1.97,5,0.81,242.65,257
North Garo Hills,48.00,83,0.00,0,2.50,5,3.66,68.39,203
Ri Bhoi,457.37,444,18.09,21,18.09,21,2.80,645.45,806
South Garo Hills,77.82,89,0.00,0,5.51,10,6.79,81.14,113
South West Garo Hills,282.33,221,3.72,5,3.69,4,1.04,355.13,396
South West Khasi Hills,195.01,149,0.00,0,0.00,0,0.00,312.81,289
West Garo Hills,293.40,257,7.70,13,42.06,112,10.12,415.45,620
West Jaintia Hills,526.34,493,11.12,13,12.62,16,2.01,626.88,713
West Khasi Hills,718.57,606,7.87,11,9.37,14,0.95,982.63,933
