district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
East Garo Hills,0.00,0,1077.68,589,0.00,0,55.28,44,0.91,1,1133.87,634,0.00,0
East Jaintia Hills,0.00,0,535.37,526,0.00,0,107.59,62,0.00,0,642.96,588,0.00,0
East Khasi Hills,249.14,99,18497.83,17410,25.04,5,2674.15,1046,433.53,311,21879.69,18871,0.00,0
North Garo Hills,0.31,1,299.20,175,0.00,0,67.46,28,0.00,0,366.97,204,0.00,0
Ri Bhoi,47.16,20,5037.35,6390,1.11,6,3157.84,979,169.56,22,8413.02,7417,0.00,0
South Garo Hills,0.00,0,33.37,58,0.00,0,6.07,6,0.00,0,39.44,64,0.00,0
South West Garo Hills,0.00,0,584.45,579,0.00,0,701.27,417,0.00,2,1285.72,998,0.00,0
South West Khasi Hills,0.00,0,497.60,645,0.00,0,27.61,3,0.00,0,525.21,648,0.00,0
West Garo Hills,5.75,11,546.36,705,5.00,3,3614.52,2868,7.15,8,4178.78,3595,0.00,0
West Jaintia Hills,0.00,3,4218.71,2911,0.00,0,131.05,48,0.36,4,4350.12,2966,0.00,0
West Khasi Hills,0.30,1,10882.89,6236,0.00,0,25.67,11,0.32,1,10909.18,6249,0.00,0
