district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
East Garo Hills,37.57,45,12,8.03,62.87,5.84,5,8.64,67.57,114,63.21,491,485
East Jaintia Hills,160.66,197,46,43.20,23.22,10.43,7,5.48,190.43,278,162.01,989,336
East Khasi Hills,228.34,212,75,84.00,85.07,21.60,34,7.45,289.80,326,224.49,1940,1021
North Garo Hills,6.71,8,5,4.00,53.66,14.90,11,83.43,17.86,17,67.12,911,838
Ri Bhoi,472.74,479,101,99.53,47.94,60.74,82,8.69,699.10,865,231.96,1766,759
South Garo Hills,45.17,66,14,16.40,107.51,5.89,25,9.46,62.28,113,200.83,775,563
South West Garo Hills,296.69,283,32,63.00,26.09,19.64,70,5.24,374.91,476,106.84,952,557
South West Khasi Hills,188.01,140,55,65.90,36.92,1.35,6,0.42,317.91,295,109.84,757,484
West Garo Hills,270.54,269,39,55.50,139.94,36.90,99,8.19,450.67,708,256.61,2515,1681
West Jaintia Hills,510.20,498,127,136.00,22.83,15.30,20,2.41,634.62,717,187.34,1167,296
West Khasi Hills,691.73,596,178,234.95,43.43,28.54,68,2.87,994.10,977,277.04,1382,346
