district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
East Garo Hills,1618,23987,2,24463,873
East Jaintia Hills,3152,5451,7,10040,11
East Khasi Hills,47421,64681,4,85795,4630
North Garo Hills,241,41674,1,42038,803
Ri Bhoi,5473,25843,2,31689,8406
South Garo Hills,90,11763,0,12464,15
South West Garo Hills,2503,29937,1,30432,653
South West Khasi Hills,102,3441,1,12489,173
West Garo Hills,8158,111513,3,115494,1058
West Jaintia Hills,2374,17334,0,23733,672
West Khasi Hills,2945,13201,2,18949,4055
