district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
East Garo Hills,5946.00,13559.08,3639.83,37.72,49.57,74.11,15765.06,27354.90,4911.44,48.19,23144.91,48031.40
East Jaintia Hills,14075.31,4047.27,0.00,14.13,14.45,,99607.41,27999.65,0.00,14.20,18122.58,127607.06
East Khasi Hills,67286.05,34274.58,655882.31,30.51,30.00,38.68,220537.48,114264.22,1695680.82,37.30,757442.94,2030482.52
North Garo Hills,10768.41,5296.00,0.00,48.87,50.14,,22035.63,10561.74,0.00,49.28,16064.41,32597.37
Ri Bhoi,140021.53,23873.20,2935.32,128.52,37.58,78.38,108946.26,63523.41,3745.07,94.67,166830.05,176214.74
South Garo Hills,6242.46,1385.02,2092.02,32.37,42.28,57.63,19282.95,3275.97,3629.89,37.11,9719.50,26188.81
South West Garo Hills,15393.26,2630.15,0.00,56.68,69.97,,27155.99,3758.74,0.00,58.30,18023.41,30914.73
South West Khasi Hills,6953.97,1291.28,0.00,29.72,48.75,,23396.44,2648.72,0.00,31.66,8245.25,26045.16
West Garo Hills,28732.99,60524.83,9879.65,49.82,47.97,48.08,57672.42,126179.40,20549.28,48.50,99137.47,204401.10
West Jaintia Hills,14023.83,34444.73,17092.93,19.88,32.56,22.68,70538.55,105803.95,75378.61,26.05,65561.49,251721.11
West Khasi Hills,7859.03,20338.68,4179.44,25.48,40.69,36.43,30844.51,49985.04,11473.37,35.08,32377.15,92302.92
