district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
East Garo Hills,654.30,15375,9859,345,24831,1305,18882,18262,25234,6972
East Jaintia Hills,2846.24,21581,13558,395,18442,1225,10034,33536,35139,1581
East Khasi Hills,18721.18,80075,57348,9679,66829,14265,37811,87898,137423,49410
North Garo Hills,967.06,23926,17606,656,39603,656,32137,38162,41532,3370
Ri Bhoi,5251.21,31354,21005,1322,34381,2146,14266,42442,52359,9623
South Garo Hills,1060.66,9080,5968,166,12048,514,9594,11910,15048,2333
South West Garo Hills,1486.61,22261,18653,705,36168,964,23728,37353,40914,3561
South West Khasi Hills,871.18,11265,6073,23,12835,819,10002,16067,17338,1271
West Garo Hills,7401.82,87973,63010,4597,138393,5371,94702,132447,150983,18188
West Jaintia Hills,5598.23,39989,21431,1136,36010,3009,18027,45021,61420,15228
West Khasi Hills,8976.04,39847,28740,4129,28429,2175,10328,57129,68587,11458
