district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
East Garo Hills,1,0.00,510387,9039.62,24083311,786202.89,24589,798.23,4043144,861125.80,148251,1552.29
East Jaintia Hills,3,0.02,329927,8361.90,98578063,3539865.97,67925,2132.68,14522705,3434149.11,73546,965.44
East Khasi Hills,810,23.78,3843514,85975.36,336813927,9209546.43,1577019,50809.13,67910245,15570769.70,2506901,38182.41
North Garo Hills,0,0.00,497914,8346.21,1856,20.87,7836,397.08,538,53.65,126256,1366.32
Ri Bhoi,72,82.27,1040090,22924.46,75652170,2775115.67,121921,3780.37,11438607,2180200.48,503252,7703.83
South Garo Hills,0,0.00,342468,5216.71,3004,37.02,8216,360.54,1493,97.23,80694,639.93
South West Garo Hills,2,0.00,510767,8215.97,16246983,529201.45,11179,311.43,1440246,282701.71,117347,1424.45
South West Khasi Hills,0,0.00,112031,1571.77,3103,40.21,24643,989.10,551,42.90,52393,665.60
West Garo Hills,13,0.20,2348492,215948.11,48150558,1764691.74,98791,3919.52,8451249,1844696.79,762593,9570.36
West Jaintia Hills,2,0.00,664921,11099.68,42059715,818356.70,130297,4741.05,9518623,2502297.53,367466,4181.11
West Khasi Hills,3,0.00,324200,4381.78,24263321,586473.57,77498,2282.15,4830316,987678.17,173661,1773.04
