district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
East Garo Hills,86.22,34,327.67,201,466.65,601,4880.69,3529
East Jaintia Hills,17.50,8,22.62,17,1162.22,1287,9172.56,4523
East Khasi Hills,2020.17,1570,5243.90,3593,20822.89,15457,218264.79,58308
North Garo Hills,68.33,25,376.19,223,1111.71,777,4627.76,6506
Ri Bhoi,1678.65,715,4003.40,1471,6870.42,6865,24982.12,22337
South Garo Hills,7.98,6,31.46,25,618.63,365,3738.36,2366
South West Garo Hills,126.84,58,262.74,462,1934.46,1356,6323.04,4122
South West Khasi Hills,27.91,5,45.89,15,748.96,691,3739.70,2678
West Garo Hills,449.26,143,1307.44,430,2973.20,1595,20800.04,14157
West Jaintia Hills,470.23,105,2389.28,819,4671.91,3008,34699.34,12750
West Khasi Hills,13.45,3,29.60,8,2120.43,2343,16605.87,16265
