district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
East Garo Hills,6.89,7,32.92,8,70.86,35,33.54,211.29,118
East Jaintia Hills,18.75,6,22.37,5,4.72,8,6.75,69.90,29
East Khasi Hills,294.41,98,329.60,84,701.83,336,22.97,3055.21,1115
North Garo Hills,4.75,8,22.29,11,41.24,24,15.48,266.37,131
Ri Bhoi,18.06,14,35.15,15,192.77,123,27.84,692.44,382
South Garo Hills,10.19,8,17.12,12,45.97,29,26.37,174.33,104
South West Garo Hills,17.73,13,8.37,4,44.40,24,12.90,344.07,146
South West Khasi Hills,10.98,10,23.77,9,73.76,34,32.22,228.92,119
West Garo Hills,40.34,22,42.96,20,169.62,85,18.38,922.86,372
West Jaintia Hills,53.51,15,86.00,20,67.44,62,21.95,307.18,162
West Khasi Hills,31.44,21,34.63,21,72.21,60,15.28,472.73,292
