District,Dec-19,Mar-20,Jun-20
East Garo Hills,12.03.2020,Not held,Not yet fixed
East Jaintia Hills,20.02.2020,Not held,Not yet fixed
East Khasi Hills,Not held,Not held,Not yet fixed
North Garo Hills,06.03.2020,Not held,Not yet fixed
Ri Bhoi,21.02.2020,Not held,Not yet fixed
South Garo Hills,Not held,Not held,Not yet fixed
South West Garo Hills,Not held,Not held,Not yet fixed
South West Khasi Hills,not held,not held,Not yet fixed
West Garo Hills,Not held,Not held,Not yet fixed
West Jaintia Hills,22.02.2020,Not held,Not yet fixed
West Khasi Hills,21.02.2020,07.07.2020,Not yet fixed
