District,Disb No,Disb Amt,Outstanding No.,Outstanding Amt
East Garo Hills,0,0,11,16.4
East Jaintia Hills,9,3.9,441,91.58
East Khasi Hills,123,60.31,3661,1990.97
North Garo Hills,0,0,91,118.57
Ri Bhoi,107,42.8,2874,875.48
South Garo Hills,0,0,25,10.11
South West Garo Hills,0,0,139,61.27
South West Khasi Hills,0,0,9,4.55
West Garo Hills,25,7.5,1714,482.17
West Jaintia Hills,0,0,1108,205.54
West Khasi Hills,46,15.68,955,339.25
