District,Total PS Others,Weaker Section Loans,Renewable Energy,Social Infrastructure,Housing (PS),Education (PS),Export Credit
East Garo Hills,6.35,0.29,0,0,4.9,1.16,0
East Jaintia Hills,1,0,0,0,1,0,0
East Khasi Hills,1950.31,1408.95,4.25,0,497.02,28.89,11.2
North Garo Hills,8.95,6.04,0,0,2.91,0,0
Ri Bhoi,81.25,31.75,0,0,39.45,10.05,0
South Garo Hills,19.45,17.83,0,0,0.43,1.19,0
South West Garo Hills,7.14,4.26,0,0,1.44,1.44,0
South West Khasi Hills,12.53,12.53,0,0,0,0,0
West Garo Hills,101.55,23.83,0,0.3,68.13,9.29,0
West Jaintia Hills,182.22,152.48,0,0,27.09,2.65,0
West Khasi Hills,224.43,7.83,0,0.02,213.1,3.48,0
