District,Sishu,Kishore,Tarun
East Garo Hills,1,30,4
East Jaintia Hills,10,18,7
East Khasi Hills,177,258,102
North Garo Hills,0,17,7
Ri Bhoi,36,128,29
South Garo Hills,4,18,3
South West Garo Hills,3,53,10
South West Khasi Hills,0,9,3
West Garo Hills,78,161,55
West Jaintia Hills,31,99,29
West Khasi Hills,6,36,10
