District,Total Amt,Total No.,Others under MSMEs Amt,Others under MSMEs A/C,KVIC Working Capital Amt,KVIC Working Capital A/C,KVIC Term Loan Amt,KVIC Term Loan A/C,Medium Working Capital Amt,Medium Working Capital A/C,Medium Term Loan Amt,Medium Term Loan A/C,Small Working Capital Amt,Small Working Capital A/C,Small Term Loan Amt,Small Term Loan A/C,Micro Working Capital Amt,Micro Working Capital A/C,Micro Term Loan Amt,Micro Term Loan A/C
East Garo Hills,181.32,85,4.68,2,0,0,0,0,0,0,0,0,0,0,0,0,44.36,18,132.28,65
East Jaintia Hills,439,137,0,0,0,0,0.6,1,0,0,0,0,45.89,4,76.16,3,136.95,83,179.4,46
East Khasi Hills,15719.58,3401,427.39,781,1.38,2,8.09,3,592.9,4,1785.79,13,1445.54,51,3847.34,138,2778.91,694,4832.24,1715
North Garo Hills,62.63,45,1.19,1,0,0,0,0,0,0,0,0,0.37,1,1.12,1,16.3,13,43.65,29
Ri Bhoi,6762.35,542,5.67,49,0,0,0,0,369.5,3,1108.52,8,996.43,23,2989.28,71,400.05,166,892.9,222
South Garo Hills,83.9,184,18.22,129,0,0,0,0,0,0,0,0,0,0,0,0,24.59,24,41.09,31
South West Garo Hills,133.65,118,0,0,0,0,0,0,0,0,0,0,1.81,2,5.42,4,31.6,28,94.82,84
South West Khasi Hills,38.11,105,4.63,78,2.09,1,6.63,5,0,0,0,0,0,0,0,0,12.92,11,11.84,10
West Garo Hills,1235.42,506,80,1,4.77,2,5.98,4,0,0,0,0,120.89,22,351.31,60,180.06,119,492.41,298
West Jaintia Hills,1181.25,489,2.41,110,0,0,0,0,0,0,3.74,1,110.34,15,426.94,51,226.22,135,411.6,177
West Khasi Hills,340.29,193,7,2,0,0,0,0,0,0,0,0,8.46,2,30.99,6,121.93,80,171.91,103
