District,Operative CASA,Aadhaar Seeded CASA,Authenticated CASA
East Garo Hills,64342,2259,2817
East Jaintia Hills,69771,2192,2525
East Khasi Hills,750803,104662,132681
North Garo Hills,87688,210,501
Ri Bhoi,183594,11142,16150
South Garo Hills,39683,987,737
South West Garo Hills,98818,1668,1981
South West Khasi Hills,57263,1810,2012
West Garo Hills,334619,9547,9204
West Jaintia Hills,118860,3364,5950
West Khasi Hills,195854,7340,4188
