District,Christians No.,Christians Amt,Muslims No.,Muslims Amt,Buddhists No.,Buddhists Amt,Sikhs No.,Sikhs Amt,Zoroastrians No.,Jains No.,Jains Amt
ALB,190,121.21,27,22.06,0,0,5,6.52,0,3,2.69
ANB,18,74.5,3,1.3,0,0,0,0,0,0,0
AXIS,0,0,0,0,0,0,0,0,0,0,0
BANDHAN,12601,5585.49,316,154.5,38,22.6,44,27.52,0,5,1.46
BOB,452,3575.9,37,79.83,0,0,20,334.46,0,2,92.77
BOI,732,1268.24,105,1200.85,2,9.03,12,10.51,0,0,0
BOM,43,148.55,10,17.45,5,11.08,0,0,0,5,25.34
CAN,2013,2592.81,316,1132.18,0,0,67,41.05,0,0,0
CB,883,3273.19,15,50.03,3,5.9,10,19.05,0,0,0
CBI,992,3828.4,196,323.86,0,0,79,225.56,0,0,0
FED,288,1270.13,14,52.95,0,0,5,33.71,0,0,0
HDFC,0,0,82,184.68,3,2.34,10,4.65,0,1,4.21
ICICI,0,0,28,74.85,2,7.63,9,29.23,0,0,0
IDBI,185,1649.85,8,53.46,2,9.94,0,0,0,0,0
IDFC,0,0,0,0,0,0,0,0,0,0,0
IND,236,832.98,12,11.24,0,0,0,0,0,9,181.63
INDUS,426,4020.64,6,41.3,1,37.49,0,0,0,0,0
IOB,500,1274.48,8,28.93,1,1.77,2,1.93,0,0,0
JUCB,1442,5241.6,0,0,0,0,0,0,0,0,0
KMB,0,0,0,0,0,0,0,0,0,0,0
MCAB,0,0,17,37.66,0,0,0,0,0,0,0
MLRB,44907,71479.7,0,0,0,0,0,0,0,0,0
NESFB,3096,692.65,118,29.49,1,0.04,0,0,0,0,0
OBC,0,0,0,0,0,0,0,0,0,0,0
PNB,2251,4652.81,131,366,1,2.65,5,3.28,0,2,4.5
PSB,57,89.49,4,8.21,0,0,1,1.55,0,0,0
SBI,96400,228626.85,6972,11520.84,80,294.72,179,3690.79,7354731,2,6.6
SCUB,3859,6407.52,24,18.53,0,0,58,79.47,0,0,0
SIB,42,319.62,4,7.75,0,0,2,0.61,0,0,0
SYN,372,858,9,23.56,0,0,16,29.87,0,0,0
UCO,595,2241.8,30,46.09,0,0,8,20.85,0,1,0.59
UJJ,5973,1374.62,102,18.92,8,1.29,85,15.82,0,0,0
UNI,798,2973.19,15,50.03,3,5.9,10,19.05,0,0,0
YES,0,0,0,0,0,0,0,0,0,0,0
