District,Savings Linked No.,Savings Linked Amount,Credit Linked No.,Credit Linked Amount,Savings Linked No. (CY),CY Savings Linked Amount,Credit Linked No. (CY),CY Credit Linked Amount
East Garo Hills,341,41.91,1,1,337,41.91,7,23.24
East Jaintia Hills,179,2.69,6,6,179,2.69,7,6.45
East Khasi Hills,265,45.73,7,13.02,282,59.05,17,49.84
North Garo Hills,582,50.69,0,0,582,50.69,3,9.07
Ri Bhoi,422,16.12,67,79.35,385,13.67,68,93.66
South Garo Hills,489,62.38,2,7,489,62.38,3,7.07
South West Garo Hills,335,23.78,5,5,335,23.78,7,6.44
South West Khasi Hills,225,8.94,6,9.2,225,8.94,6,9.2
West Garo Hills,959,105.68,23,25.8,959,105.68,27,57.07
West Jaintia Hills,143,1.94,29,79,144,2.49,31,80.54
West Khasi Hills,221,16.49,22,31,221,16.49,22,31
