District,Rural No,Urban No,Male No,Female No,Zero Balance A/c No.,Deposits Held in A/c Amt,RuPay Card Issued No.,RuPay Card Activated,Aadhaar Seeded No.
East Garo Hills,8022,6162,5577,8607,999,450,14124,9495,225
East Jaintia Hills,24453,2214,9629,17038,548,4781.25,12936,6157,311
East Khasi Hills,72255,42844,47221,67878,25054,195511.88,58139,34729,14419
North Garo Hills,35085,2601,16832,20854,445,1027.64,35787,28224,95
Ri Bhoi,37541,9811,19008,28344,5124,5179.21,24044,11278,6005
South Garo Hills,9548,636,4713,5471,441,305.6,7885,6836,22
South West Garo Hills,34259,2582,15754,21087,1117,1231.43,29240,20594,575
South West Khasi Hills,15604,1952,6635,10921,2636,890.49,13984,11639,1550
West Garo Hills,130930,4697,56811,78816,4768,3675.91,124436,88122,3074
West Jaintia Hills,36208,9034,14348,30894,4747,5462,28470,13709,1600
West Khasi Hills,48427,9404,23882,33949,1472,9238.48,24724,7329,2436
