District,Enrolment Under PMJJBY,eligible cases under PMJJBY,Renewals Under PMJJBY,Enrolment Under PMSBY,eligible cases under PMSBY,Renewals Under PMSBY,Enrolment Under APY,Total Enrolment No.
Bishnupur,35947,180323,32932,82995,258763,106480,9582,128524
Chandel,4598,22173,3048,6833,35609,7185,308,11739
Churachandpur,35158,156201,16818,33320,229667,46122,4423,72901
Imphal East,44669,232245,41653,112532,321881,157631,14562,171763
Imphal West,104464,494774,68567,285715,729033,207557,32337,422516
Jiribam,7395,36564,2104,11959,47810,3534,3096,22450
Kakching,21762,113104,14842,40584,162237,51449,4899,67245
Kamjong,872,2318,324,3946,4179,1305,63,4881
Kangpokpi,16377,39740,6969,62346,63561,14213,1523,80246
Noney,2924,19122,5121,4633,23205,18546,882,8439
Pherzawl,0,0,0,0,0,0,0,0
Senapati,22174,78237,8233,32484,112107,25547,2671,57329
Tamenglong,5766,42884,1677,30613,54184,5311,3699,40078
Tengnoupal,8788,26975,8679,8580,38543,19186,1621,18989
Thoubal,28838,211644,35984,63274,296061,115908,9104,101216
Ukhrul,24938,90269,11870,22575,131410,29048,4903,52416
