District,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,Other Msme No.,Other Msme Amt,Msme Total O/S No.,Msme Total O/S Amt
Bishnupur,4288,6874.38,26,849.97,1,9.38,34,66.52,4349,7800.25
Chandel,585,770.28,1,0.55,0,0,0,0,586,770.83
Churachandpur,2581,11026.57,29,791.53,1,32.83,16,29.66,2627,11880.59
Imphal East,8434,20166.91,159,3896.91,12,54.67,93,102.62,8698,24221.11
Imphal West,17076,78968.13,496,32935.09,30,2646,428,830.96,18030,115380.2
Jiribam,128,316.92,8,12.64,0,0,0,0,136,329.56
Kakching,2693,5102.28,83,420.92,1,2.87,0,0,2777,5526.07
Kamjong,109,67.18,0,0,0,0,0,0,109,67.18
Kangpokpi,1109,3253.57,9,63.84,0,0,0,0,1118,3317.41
Noney,360,567.4,0,0,0,0,0,0,360,567.4
Pherzawl,0,0,0,0,0,0,0,0,0,0
Senapati,1936,6694.05,64,218.15,3,62.92,6,19.57,2009,6994.69
Tamenglong,467,982.36,15,52.18,0,0,0,0,482,1034.54
Tengnoupal,1096,1318.86,53,35.63,1,0,1,1.55,1151,1356.04
Thoubal,5784,10745.01,42,1381.99,3,60.58,15,41.47,5844,12229.05
Ukhrul,1349,2704.98,8,67.05,0,0,0,0,1357,2772.03
