District,ATM ATM Rural,ATM Semi-Urban,ATM Urban,Total ATM,Branch Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,BC BC Total,BC Fix,BC Other
Bishnupur,3,13,0,16,4,19,0,23,446,420,26
Chandel,5,0,0,5,4,0,0,4,29,29,0
Churachandpur,26,3,0,29,21,3,0,24,84,43,41
Imphal East,49,4,10,63,29,3,8,40,543,499,44
Imphal West,35,5,142,182,14,12,54,80,3492,1035,2457
Jiribam,1,1,0,2,4,1,0,5,22,14,8
Kakching,1,17,0,18,1,11,0,12,108,76,32
Kamjong,1,0,0,1,1,0,0,1,4,4,0
Kangpokpi,9,0,0,9,15,0,0,15,24,16,8
Noney,2,0,0,2,7,0,0,7,24,24,0
Pherzawl,0,0,0,0,0,0,0,0,1,1,0
Senapati,16,0,0,16,16,2,0,18,23,10,13
Tamenglong,0,2,0,2,2,4,0,6,47,30,17
Tengnoupal,2,4,0,6,3,4,0,7,69,16,53
Thoubal,2,26,0,28,8,13,0,21,847,795,52
Ukhrul,3,6,0,9,4,6,0,10,160,136,24
