District,Bank Name,Sishu O/S No.,Amt,Sishu NPA No.,Kishore O/S No.,Kishore NPA No.,Tarun O/S No.,Tarun NPA No.,Tarun Plus O/S No.,Tarun Plus NPA No.,Total MUDRA O/S No.,Total MUDRA NPA No.,MUDRA NPA Pct
Bishnupur,,2258,1472.44,1519,2782,1049,306,32,0,0,5346,2600,25.42
Chandel,,221,274.96,118,528,214,13,5,0,0,762,337,30.18
Churachandpur,,924,1235.07,426,1489,793,529,246,3,0,2945,1465,19.95
Imphal East,,6226,3290.85,4744,4892,1571,852,649,10,0,11980,6964,28.17
Imphal West,,9377,7880.2,6634,9308,5069,1647,###,4,0,20336,12864,38.18
Jiribam,,89,70.95,55,174,113,17,1,0,0,280,169,30.51
Kakching,,1055,1044.76,664,1930,765,137,25,0,0,3122,1454,30.74
Kamjong,,128,66.84,63,50,39,2,0,0,0,180,102,57.2
Kangpokpi,,314,729.72,113,844,252,183,41,0,0,1341,406,21.76
Noney,,104,235.77,53,604,351,18,92,0,0,726,496,37.03
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,,343,1421.21,270,1810,733,532,66,0,0,2685,1069,20.23
Tamenglong,,81,266.55,38,507,468,41,210,0,0,629,716,48.04
Tengnoupal,,305,542.26,166,1102,414,28,19,0,0,1435,599,40.75
Thoubal,,4298,2061.69,3009,3572,1254,454,283,1,0,8325,4546,22.65
Ukhrul,,265,481.35,84,1020,334,99,18,0,0,1384,436,21.45
