District,Current Year No. of Female Account,Current Year Sumof Female Amt,Current Year No. of Male Accountto SC,Current Year Sumof Male Amountto SC,Current Year No. of Male Accountto ST,Current Year Sumof Male Amountto ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amt,SUI O/S No.,SUI O/S Amt,SUI NPA No.,SUI NPA Amt,SUI NPA Pct
Bishnupur,2,16.59,0,0,0,0,2,16.59,6,111.01,1,6.79,6.12
Chandel,0,0,0,0,0,0,0,0,1,25.25,0,0,0
Churachandpur,0,0,0,0,3,45,3,45,48,1074.82,5,132.14,12.29
Imphal East,4,86,1,12,1,14,6,112,44,602.36,17,158.41,26.3
Imphal West,8,148.69,1,15.2,2,43.34,11,207.23,98,1902.52,36,585.83,30.79
Jiribam,0,0,0,0,0,0,0,0,0,0,0,0,0
Kakching,5,58.36,0,0,0,0,5,58.36,14,251.8,1,14.09,5.6
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,0,0,0,0,9,188.49,0,0,0
Noney,0,0,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,1,17,0,0,0,0,1,17,41,715.08,8,91.52,12.8
Tamenglong,0,0,0,0,0,0,0,0,0,0,0,0,0
Tengnoupal,0,0,0,0,0,0,0,0,0,0,0,0,0
Thoubal,0,0,0,0,0,0,0,0,16,106.56,3,18.76,17.61
Ukhrul,0,0,0,0,0,0,0,0,2,48.35,0,0,0
